url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"집에 해지된 기가지니가 생겨서 어떻게 쓸까 고민하다가, 한번 마침 안드로이드TV 기반이니까 런처를 따로 깔면 되지 않을까 해서 공장초기화하고 세팅 진행중에 구글계정 넣고 구글 플레이 웹에서 안드로이드TV 런처를 설치했습니다. 껐다 키니까 따로 가입 없이도 안드로이드TV 셋탑으로 활용 가능하네요. 유튜브, 플레이스토어, 앱 설치 등등 다 됩니다. 안드11 기반이라 버전도 높고 은근 좋습니다.",,2023.08.18. 22:07,2,,8,493,IT+,TV
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"엔비디아는 한국 통신사 KT가 엔비디아(NVIDIA) AI로 스마트 스피커와 고객 콜센터를 훈련했다고 밝혔다. 국내 AI 음성비서 기가지니는 매일 800만 명의 사용자와 대화한다. KT의 AI 기반 스피커는 TV를 제어하고, 실시간 교통 정보를 제공하고 기타 집안에서의 다양한 업무를 수행한다. 대형의 텍스트 데이터 세트를 기반으로 인간 언어를 인식, 이해, 예측 및 생성할 수 있는 머신러닝 알고리즘인 대형언어 모델(LLM) 덕분에 매우 복잡한 한국어 대화 기술을 숙달했다. KT의 모델은 엔비디아 DGX 슈퍼(Super)POD 데이터 센터 인프라 플랫폼과 네모메가트론(NeMo Megatron) 프레임워크를 사용해 수십억 개의 매개변수를 가진 LLM을 훈련하고 배포한다. 한글로 알려진 한국어는 세계에서 가장 어려운 언어 목록에 꾸준히 포함돼 왔다. 한국어에는 네 가지 유형의 복합동사가 존재하며, 한국어 단어는 종종 두 개 이상의 어근으로 구성된다. 2,200만 명이 넘는 가입자를 보유한 한국의 선도적인 통신사 KT는 자체 LLM을 개발해 스마트 스피커의 단어에 대한 이해도를 높였다. 또한 2,000억 개 이상의 매개변수를 가진, 적용 분야 별 최적화된 다양한 버전의 LLM들을 사업에 적용하고 있다. 더불어 기가지니는 아마존 알렉사(Alexa)와의 통합을 통해 사용자와 영어로 대화할 수 있다. KT의 LLM 개발팀 류휘정 팀장은 “트랜스포머기반 모델을 통해 기가지니 스마트 스피커와 고객 서비스 플랫폼 AI 컨택센터(AICC)의 품질이 크게 향상됐다”라고 말했다. AICC는 AI 음성 에이전트 및 기타 고객 서비스 관련 애플리케이션을 제공하는 올인원 클라우드 기반 플랫폼이다. AICC는 전화를 받고 요청된 정보를 제공하거나 고객을 상담원과 빠르게 연결해 보다 자세한 문의에 대한 답변을 제공할 수 있다. 류팀장에 따르면 인간의 개입이 없이 AICC는 매일 전국적으로 10만 건 이상의 전화를 관리하고 있다. 류 팀장은 “기가지니는 LLM을 통해 언어 이해도를 높이고 인간과 유사한 문장을 더 많이 생성할 수 있으며, AICC는 문의 유형을 더 빠르게 요약하고 분류해 상담 시간을 15초 단축할 수 있다”라고 덧붙였다. - 대규모 언어 모델 훈련 LLM을 개발하는 것은 심도 있는 기술 전문 지식과 전체 스택 기술 투자가 필요한 값비싸고, 시간 소모적인 과정일 수 있다. 엔비디아 AI 플랫폼은 KT를 위해 이 과정을 간소화하고 가속화했다. 류 팀장은 ""엔비디아 DGX 슈퍼POD의 강력한 성능과 네모 메가트론의 최적화된 알고리즘 및 3D 병렬 처리 기술을 통해 LLM 모델을 보다 효과적으로 훈련했다. 네모 메가트론은 지속적으로 새로운 기능을 채택하고 있으며, 이는 모델 정확도를 개선하는 데 있어 가장 큰 장점이라고 생각한다""라고 설명했다. 류 팀장에 따르면, 대규모 딥 러닝 모델을 여러 장치에 분할하는 분산 학습 방법인 3D 병렬 처리는 KT의 LLM 학습에 중요한 포인트였다. 네모 메가트론을 통해 팀은 가장 높은 처리량으로 작업을 쉽게 수행할 수 있었다. 류 팀장은 ""다른 플랫폼을 사용하는 것도 고려했지만 하드웨어 수준에서 추론 수준까지 풀스택 환경을 제공하는 대안을 찾기가 어려웠다. 또한 엔비디아는 제품, 엔지니어링 팀 등으로부터 탁월한 전문 지식을 제공하므로 기술 문제를 쉽게 해결할 수 있었다""라고 말했다. KT는 네모 메가트론의 하이퍼파라미터 최적화 도구를 사용해 다른 프레임워크보다 LLM을 두배 더 빠르게 훈련했다. 이러한 도구를 통해 사용자는 LLM 훈련 및 추론을 위한 최상의 구성을 자동으로 찾아 개발 및 배포 과정을 쉽고 빠르게 할 수 있다. KT는 엔비디아트리톤 추론서버(Triton Inference Server)를 사용해 최적화된 실시간 추론 서비스를 제공하고, 엔비디아베이스 커맨드매니저(Base Command Manager)를 통해 AI 클러스터에서 수백 개의 노드를 쉽게 모니터링하고 관리할 계획이다.",,2022.09.22. 13:23,0,,0,80,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"기사내용 요약 ""담아줘"" ""구매해줘"" ""결제해줘"" 세 단계 명령으로 진행 배송정보 자동 입력…청구서 합산 결제·간편결제 기능 제공 [서울=뉴시스] KT가 오아시스마켓과 함께 KT 기가지니를 이용해 식품을 주문하는 'AI 장보기' 서비스를 출시했다. (사진=KT 제공) 2022.8.11 *재판매 및 DB 금지 [서울=뉴시스] 심지혜 기자 = KT의 인공지능(AI) 스피커 기가지니로 오아시스 상품을 주문할 수 있게 됐다. KT는 오아시스마켓과 함께 KT 기가지니를 이용해 식품을 주문하는 'AI 장보기' 서비스를 출시했다고 11일 밝혔다. 예컨대 ""지니야, 오아시스마켓에서 유기농 우유 주문해줘""라고 말하면 AI 장보기 서비스가 실행되고, 이후 ""담아줘"", ""구매해줘"", ""결제해줘"" 세 단계의 음성명령으로 주문이 진행된다. (하략)",,2022.08.11. 11:07,0,,0,77,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,인공지능 및 디지털 전환 분야 협력을 위한 업무협약 체결 KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다.(KT 제공) KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다. 양사는 이번 MOU를 통해 AI·DX 기반 서비스를 통한 상호 발전을 도모할 예정이다. 구체적인 협력 내용은 △AI·DX 기반 업무 협력 △양사 서비스 이용자를 위한 멤버십 제휴 △기업가치 증대를 위한 미래지향적 관계 구축 등이다. 또 양사는 KT 기가지니를 통한 BBQ 치킨 주문 등 AI·DX 플랫폼 기반 서비스를 적용하기 위해 검토하고 있다. AI 서비스로봇을 BBQ 매장에 확산하기 위해서도 협의하고 있다. (하략),,2022.08.31. 11:23,0,,1,183,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,인공지능 및 디지털 전환 분야 협력을 위한 업무협약 체결 KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다.(KT 제공) KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다. 양사는 이번 MOU를 통해 AI·DX 기반 서비스를 통한 상호 발전을 도모할 예정이다. 구체적인 협력 내용은 △AI·DX 기반 업무 협력 △양사 서비스 이용자를 위한 멤버십 제휴 △기업가치 증대를 위한 미래지향적 관계 구축 등이다. 또 양사는 KT 기가지니를 통한 BBQ 치킨 주문 등 AI·DX 플랫폼 기반 서비스를 적용하기 위해 검토하고 있다. AI 서비스로봇을 BBQ 매장에 확산하기 위해서도 협의하고 있다. (하략),,2022.08.31. 11:23,0,,1,184,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"기사내용 요약 ""담아줘"" ""구매해줘"" ""결제해줘"" 세 단계 명령으로 진행 배송정보 자동 입력…청구서 합산 결제·간편결제 기능 제공 [서울=뉴시스] KT가 오아시스마켓과 함께 KT 기가지니를 이용해 식품을 주문하는 'AI 장보기' 서비스를 출시했다. (사진=KT 제공) 2022.8.11 *재판매 및 DB 금지 [서울=뉴시스] 심지혜 기자 = KT의 인공지능(AI) 스피커 기가지니로 오아시스 상품을 주문할 수 있게 됐다. KT는 오아시스마켓과 함께 KT 기가지니를 이용해 식품을 주문하는 'AI 장보기' 서비스를 출시했다고 11일 밝혔다. 예컨대 ""지니야, 오아시스마켓에서 유기농 우유 주문해줘""라고 말하면 AI 장보기 서비스가 실행되고, 이후 ""담아줘"", ""구매해줘"", ""결제해줘"" 세 단계의 음성명령으로 주문이 진행된다. (하략)",,2022.08.11. 11:07,0,,0,78,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"집에 해지된 기가지니가 생겨서 어떻게 쓸까 고민하다가, 한번 마침 안드로이드TV 기반이니까 런처를 따로 깔면 되지 않을까 해서 공장초기화하고 세팅 진행중에 구글계정 넣고 구글 플레이 웹에서 안드로이드TV 런처를 설치했습니다. 껐다 키니까 따로 가입 없이도 안드로이드TV 셋탑으로 활용 가능하네요. 유튜브, 플레이스토어, 앱 설치 등등 다 됩니다. 안드11 기반이라 버전도 높고 은근 좋습니다.",,2023.08.18. 22:07,2,,8,494,IT+,TV
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"엔비디아는 한국 통신사 KT가 엔비디아(NVIDIA) AI로 스마트 스피커와 고객 콜센터를 훈련했다고 밝혔다. 국내 AI 음성비서 기가지니는 매일 800만 명의 사용자와 대화한다. KT의 AI 기반 스피커는 TV를 제어하고, 실시간 교통 정보를 제공하고 기타 집안에서의 다양한 업무를 수행한다. 대형의 텍스트 데이터 세트를 기반으로 인간 언어를 인식, 이해, 예측 및 생성할 수 있는 머신러닝 알고리즘인 대형언어 모델(LLM) 덕분에 매우 복잡한 한국어 대화 기술을 숙달했다. KT의 모델은 엔비디아 DGX 슈퍼(Super)POD 데이터 센터 인프라 플랫폼과 네모메가트론(NeMo Megatron) 프레임워크를 사용해 수십억 개의 매개변수를 가진 LLM을 훈련하고 배포한다. 한글로 알려진 한국어는 세계에서 가장 어려운 언어 목록에 꾸준히 포함돼 왔다. 한국어에는 네 가지 유형의 복합동사가 존재하며, 한국어 단어는 종종 두 개 이상의 어근으로 구성된다. 2,200만 명이 넘는 가입자를 보유한 한국의 선도적인 통신사 KT는 자체 LLM을 개발해 스마트 스피커의 단어에 대한 이해도를 높였다. 또한 2,000억 개 이상의 매개변수를 가진, 적용 분야 별 최적화된 다양한 버전의 LLM들을 사업에 적용하고 있다. 더불어 기가지니는 아마존 알렉사(Alexa)와의 통합을 통해 사용자와 영어로 대화할 수 있다. KT의 LLM 개발팀 류휘정 팀장은 “트랜스포머기반 모델을 통해 기가지니 스마트 스피커와 고객 서비스 플랫폼 AI 컨택센터(AICC)의 품질이 크게 향상됐다”라고 말했다. AICC는 AI 음성 에이전트 및 기타 고객 서비스 관련 애플리케이션을 제공하는 올인원 클라우드 기반 플랫폼이다. AICC는 전화를 받고 요청된 정보를 제공하거나 고객을 상담원과 빠르게 연결해 보다 자세한 문의에 대한 답변을 제공할 수 있다. 류팀장에 따르면 인간의 개입이 없이 AICC는 매일 전국적으로 10만 건 이상의 전화를 관리하고 있다. 류 팀장은 “기가지니는 LLM을 통해 언어 이해도를 높이고 인간과 유사한 문장을 더 많이 생성할 수 있으며, AICC는 문의 유형을 더 빠르게 요약하고 분류해 상담 시간을 15초 단축할 수 있다”라고 덧붙였다. - 대규모 언어 모델 훈련 LLM을 개발하는 것은 심도 있는 기술 전문 지식과 전체 스택 기술 투자가 필요한 값비싸고, 시간 소모적인 과정일 수 있다. 엔비디아 AI 플랫폼은 KT를 위해 이 과정을 간소화하고 가속화했다. 류 팀장은 ""엔비디아 DGX 슈퍼POD의 강력한 성능과 네모 메가트론의 최적화된 알고리즘 및 3D 병렬 처리 기술을 통해 LLM 모델을 보다 효과적으로 훈련했다. 네모 메가트론은 지속적으로 새로운 기능을 채택하고 있으며, 이는 모델 정확도를 개선하는 데 있어 가장 큰 장점이라고 생각한다""라고 설명했다. 류 팀장에 따르면, 대규모 딥 러닝 모델을 여러 장치에 분할하는 분산 학습 방법인 3D 병렬 처리는 KT의 LLM 학습에 중요한 포인트였다. 네모 메가트론을 통해 팀은 가장 높은 처리량으로 작업을 쉽게 수행할 수 있었다. 류 팀장은 ""다른 플랫폼을 사용하는 것도 고려했지만 하드웨어 수준에서 추론 수준까지 풀스택 환경을 제공하는 대안을 찾기가 어려웠다. 또한 엔비디아는 제품, 엔지니어링 팀 등으로부터 탁월한 전문 지식을 제공하므로 기술 문제를 쉽게 해결할 수 있었다""라고 말했다. KT는 네모 메가트론의 하이퍼파라미터 최적화 도구를 사용해 다른 프레임워크보다 LLM을 두배 더 빠르게 훈련했다. 이러한 도구를 통해 사용자는 LLM 훈련 및 추론을 위한 최상의 구성을 자동으로 찾아 개발 및 배포 과정을 쉽고 빠르게 할 수 있다. KT는 엔비디아트리톤 추론서버(Triton Inference Server)를 사용해 최적화된 실시간 추론 서비스를 제공하고, 엔비디아베이스 커맨드매니저(Base Command Manager)를 통해 AI 클러스터에서 수백 개의 노드를 쉽게 모니터링하고 관리할 계획이다.",,2022.09.22. 13:23,0,,0,81,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,인공지능 및 디지털 전환 분야 협력을 위한 업무협약 체결 KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다.(KT 제공) KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다. 양사는 이번 MOU를 통해 AI·DX 기반 서비스를 통한 상호 발전을 도모할 예정이다. 구체적인 협력 내용은 △AI·DX 기반 업무 협력 △양사 서비스 이용자를 위한 멤버십 제휴 △기업가치 증대를 위한 미래지향적 관계 구축 등이다. 또 양사는 KT 기가지니를 통한 BBQ 치킨 주문 등 AI·DX 플랫폼 기반 서비스를 적용하기 위해 검토하고 있다. AI 서비스로봇을 BBQ 매장에 확산하기 위해서도 협의하고 있다. (하략),,2022.08.31. 11:23,0,,1,185,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=기가지니'],미니기기코리아,"엔비디아는 한국 통신사 KT가 엔비디아(NVIDIA) AI로 스마트 스피커와 고객 콜센터를 훈련했다고 밝혔다. 국내 AI 음성비서 기가지니는 매일 800만 명의 사용자와 대화한다. KT의 AI 기반 스피커는 TV를 제어하고, 실시간 교통 정보를 제공하고 기타 집안에서의 다양한 업무를 수행한다. 대형의 텍스트 데이터 세트를 기반으로 인간 언어를 인식, 이해, 예측 및 생성할 수 있는 머신러닝 알고리즘인 대형언어 모델(LLM) 덕분에 매우 복잡한 한국어 대화 기술을 숙달했다. KT의 모델은 엔비디아 DGX 슈퍼(Super)POD 데이터 센터 인프라 플랫폼과 네모메가트론(NeMo Megatron) 프레임워크를 사용해 수십억 개의 매개변수를 가진 LLM을 훈련하고 배포한다. 한글로 알려진 한국어는 세계에서 가장 어려운 언어 목록에 꾸준히 포함돼 왔다. 한국어에는 네 가지 유형의 복합동사가 존재하며, 한국어 단어는 종종 두 개 이상의 어근으로 구성된다. 2,200만 명이 넘는 가입자를 보유한 한국의 선도적인 통신사 KT는 자체 LLM을 개발해 스마트 스피커의 단어에 대한 이해도를 높였다. 또한 2,000억 개 이상의 매개변수를 가진, 적용 분야 별 최적화된 다양한 버전의 LLM들을 사업에 적용하고 있다. 더불어 기가지니는 아마존 알렉사(Alexa)와의 통합을 통해 사용자와 영어로 대화할 수 있다. KT의 LLM 개발팀 류휘정 팀장은 “트랜스포머기반 모델을 통해 기가지니 스마트 스피커와 고객 서비스 플랫폼 AI 컨택센터(AICC)의 품질이 크게 향상됐다”라고 말했다. AICC는 AI 음성 에이전트 및 기타 고객 서비스 관련 애플리케이션을 제공하는 올인원 클라우드 기반 플랫폼이다. AICC는 전화를 받고 요청된 정보를 제공하거나 고객을 상담원과 빠르게 연결해 보다 자세한 문의에 대한 답변을 제공할 수 있다. 류팀장에 따르면 인간의 개입이 없이 AICC는 매일 전국적으로 10만 건 이상의 전화를 관리하고 있다. 류 팀장은 “기가지니는 LLM을 통해 언어 이해도를 높이고 인간과 유사한 문장을 더 많이 생성할 수 있으며, AICC는 문의 유형을 더 빠르게 요약하고 분류해 상담 시간을 15초 단축할 수 있다”라고 덧붙였다. - 대규모 언어 모델 훈련 LLM을 개발하는 것은 심도 있는 기술 전문 지식과 전체 스택 기술 투자가 필요한 값비싸고, 시간 소모적인 과정일 수 있다. 엔비디아 AI 플랫폼은 KT를 위해 이 과정을 간소화하고 가속화했다. 류 팀장은 ""엔비디아 DGX 슈퍼POD의 강력한 성능과 네모 메가트론의 최적화된 알고리즘 및 3D 병렬 처리 기술을 통해 LLM 모델을 보다 효과적으로 훈련했다. 네모 메가트론은 지속적으로 새로운 기능을 채택하고 있으며, 이는 모델 정확도를 개선하는 데 있어 가장 큰 장점이라고 생각한다""라고 설명했다. 류 팀장에 따르면, 대규모 딥 러닝 모델을 여러 장치에 분할하는 분산 학습 방법인 3D 병렬 처리는 KT의 LLM 학습에 중요한 포인트였다. 네모 메가트론을 통해 팀은 가장 높은 처리량으로 작업을 쉽게 수행할 수 있었다. 류 팀장은 ""다른 플랫폼을 사용하는 것도 고려했지만 하드웨어 수준에서 추론 수준까지 풀스택 환경을 제공하는 대안을 찾기가 어려웠다. 또한 엔비디아는 제품, 엔지니어링 팀 등으로부터 탁월한 전문 지식을 제공하므로 기술 문제를 쉽게 해결할 수 있었다""라고 말했다. KT는 네모 메가트론의 하이퍼파라미터 최적화 도구를 사용해 다른 프레임워크보다 LLM을 두배 더 빠르게 훈련했다. 이러한 도구를 통해 사용자는 LLM 훈련 및 추론을 위한 최상의 구성을 자동으로 찾아 개발 및 배포 과정을 쉽고 빠르게 할 수 있다. KT는 엔비디아트리톤 추론서버(Triton Inference Server)를 사용해 최적화된 실시간 추론 서비스를 제공하고, 엔비디아베이스 커맨드매니저(Base Command Manager)를 통해 AI 클러스터에서 수백 개의 노드를 쉽게 모니터링하고 관리할 계획이다.",,2022.09.22. 13:23,0,,0,82,IT+,소식
