url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,"지니뮤직 50회 스트리밍 쿠폰입니다!!
퀘이사존 쪽지 기능을 이용해 보내드릴 예정입니다!

참여 유의사항!
1.쿠폰은 등록후 7일간만 유효합니다
2.쿠폰 등록 만료일은 12월 8일 입니다
3.꼭! 추천버튼과 나눔신청버튼 을 눌러주세용ㅎㅎ
4.나눔받으신후에 나눔완료를 꼭 해주세요!",nan,2019.11.17 12:26,nan,nan,23,662,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,Kt m 모바일 사용하면서 받은 지니뮤직 스마트 음악감상 3개월 이용권입니다.저는 딱히 쓸 일이 없을 것 같이서 나눔합니다.7월 25일 까지 등록 가능합니다.,nan,2021.07.21 11:08,nan,nan,34,939,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,"지니뮤직 음악감상 100회 이용권 드립니다.
조건은 없어요. 
유효기간은 26일까지니까 그전에 이용 신청만 하면 될거 같네요. ㅋ",nan,2019.03.20 11:46,nan,nan,53,892,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,지니뮤직 앱에서만 감상 가능 합니다.기존에 사용하고 있으면 기간 연장이 아닌 +30일만 추가됩니다. (중복으로 등록됨)자동결제 없이 사용하고 나면 그냥 종료됩니다.추석연휴때 잘 사용하셨으면 하네요.,nan,2023.09.26 12:30,nan,nan,19,414,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,"지니뮤직 음악 감상 100회권을 조건 없이 소소하게 나눔 해 봅니다.유효 기간은 21년 5월 8일 까지니, 그전에 등록하시면 될 것 같네요.* 지니뮤직 이용권을 사용하고 계신 분은 수령 불가라고 합니다.",nan,2021.05.02 22:05,nan,nan,22,634,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,자세한 내용은 링크를 참조하세요.,nan,2020.11.14 12:41,nan,nan,5,2900,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,여기 글 많이 보는거 같아서 여기다가 물어봐요지니뮤직 플레이어 백 그라운드 상태에서 단축키 먹는 방법혹시 아시는분이 있나요?아니면 커세어 키보드 멀티미디어키 먹는 방법 이라던가요...,nan,2020.12.13 15:48,nan,nan,1,540,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,지니뮤직 무제한 음악감상 30일권 나눔합니다.사용기간은 11월 30일안까지이며 쪽지로 보내드립니다.,nan,2021.11.16 13:52,nan,nan,26,536,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,mp3 10곡 다운 패키지를 구매하고 곡을 선택했는데 개별구매만 가능하다고 뜨기도 하나요?,nan,2021.11.06 08:57,nan,nan,0,401,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,"행사가 199,000원 + 지니뮤직 90일 이용권언젠가는 가격 더 내려갈 것 같은데현재 지니 90일 이용권이랑 199,000원에 할인합니다.다른 글보니까 그라파이트를 좀 비싸게 사신 분이 있더군요..ㅠㅠ",nan,2022.10.17 10:50,nan,nan,8,3191,nan,nan
https://quasarzone.com/groupSearches?keyword=지니뮤직,지니뮤직,"얼마전에 pc앱나왔는데
뭔놈의 뮤직플레이어가 cpu를 20~40퍼까지 
혼자서 들었다뇠다할까요
첨에는 아 또 윈도업뎃 문젠가 싶었는데
그거랑 1도 상관없이 얘문제네요

첨에 만들어 낼때 테스트도 안하나진짜ㅡㅡ",nan,2018.04.22 21:38,nan,nan,9,808,nan,nan
