url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"<지니뮤직> 가사 등록이 잘 돼 있다. 앱사용감이 별로다. 비슷한 음원 추천이 별로다. (kt, kt알뜰폰(4개 요금제) 제휴) <멜론> 가사 등록이 별로다. 비슷한 음원 추천이 잘 돼 있다. 삼성뮤직앱 내 구동 가능. (skt, kt알뜰폰(2개 요금제) 제휴) <네이버vibe> 가사 등록이 별로다. 가사번역이 지원 되고 번역이 괜찮다. 비슷한 음원 추천이 별로다(없던가..?). (u플러스 제휴)",,"<li class=""num"">2023.10.13. 10:38</li>",1,,4,459,IT+,음향
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"와이즈앱·리테일·굿즈가 한국인 안드로이드 스마트폰 사용자를 표본 조사한 결과, 지난 4월 유튜브 뮤직 앱 사용자 수가 521만 명으로 역대 최대를 기록했다. 특히 전년 동월 대비 사용자 수가 가장 많이 증가한 음악 스트리밍 앱은 유튜브 뮤직으로 작년 4월 400만 명에서 올해 4월 521만 명으로 121만 명이 증가했다. 그 뒤로 스포티파이가 작년 4월 47만 명에서 올해 4월 63만 명으로 16만 명, 멜론이 작년 4월 450만 명에서 올해 4월 459만 명으로 9만 명 증가했다. 반면 전년 동월 대비 가장 사용자 수가 많이 감소한 음악 스트리밍 앱은 지니뮤직으로 작년 4월 231만 명에서 올해 4월 203만 명으로 28만 명 감소했다. 그 뒤로 플로가 23만 명, 카카오뮤직이 4만 명, 벅스가 3만 명, 네이버 바이브가 3만 명 감소했다. 위 조사는 앱/리테일 분석 서비스 와이즈앱·리테일·굿즈가 한국인 안드로이드 스마트폰 사용자 표본 조사로 실시했다.",,"<li class=""num"">2023.06.07. 13:48</li>",3,,14,876,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"기사내용 요약 셀렉티브 호텔 멤버십 가입 조건…Z플립4는 디자인 팔레트 지니뮤직 3개월 기본 제공…가격 부담 낮추는 할부·요금할인 혜택도 [서울=뉴시스] KT가 전국 매장과 공식 온라인몰 KT숍에서 삼성전자 '갤럭시Z폴드4·플립4' 시리즈 사전예약을 진행한다. (사진=KT 제공) 2022.8.15 *재판매 및 DB 금지 [서울=뉴시스] 심지혜 기자 = KT는 전국 매장과 공식 온라인몰 KT숍에서 삼성전자 '갤럭시Z폴드4·플립4' 시리즈 사전예약을 실시한다고 15일 밝혔다. 사전예약 기간은 16일부터 22일까지이며, 사전예약 개통은 23일부터다. 공식 출시는 26일이다. 갤럭시Z폴드4는 '팬텀 블랙', '그레이 그린', '베이지' 3가지 색상으로 구성되며 용량은 256GB, 512GB 두 가지다. 가격은 각각 199만8700원(VAT포함), 211만9700원이다. 갤럭시Z플립4는 '그라파이트', '핑크 골드', '보라 퍼플', '블루' 4가지 색상으로 구성되며 용량은 256GB, 512GB다. 가격은 각각 135만3000원, 147만4000원이다. (하략)",,"<li class=""num"">2022.08.15. 09:32</li>",0,,0,223,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"'Y틴 프리덤' 출시…중간·기말고사 연 4회 진행 지니뮤직·롯데월드 등 매 시즌 특별 혜택 제공 [서울=뉴시스] KT는 청소년 고객을 위한 혜택 프로그램 'Y틴 프리덤' 을 다음 달 7일까지 2주간 운영한다고 24일 밝혔다. (사진=KT 제공) *재판매 및 DB 금지 [서울=뉴시스]윤정민 기자 = KT는 청소년 고객을 위한 혜택 프로그램 'Y틴 프리덤' 을 다음 달 7일까지 2주간 운영한다고 24일 밝혔다. 'Y틴 프리덤'은 청소년 고객들이 중·고등학교 시험 기간 직후 친구들과 자유를 만끽할 수 있도록 2주일 동안 집중해서 혜택을 제공하는 프로그램이다. 1년에 총 4회, 중간·기말고사 직후에 맞춰 2주간 운영되며 이 기간 만 12세부터 만 18세까지의 청소년 고객은 Y박스 앱과 KT멤버십 앱에서 다양한 혜택을 받을 수 있다. (하략)",,"<li class=""num"">2023.04.24. 16:43</li>",0,,0,227,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"KT(대표이사 구현모, www.kt.com)가 7일부터 13일까지 7일간 전국 KT 매장 및 공식 온라인몰 KT Shop(shop.kt.com)에서 삼성전자 ‘갤럭시 S23 시리즈’ 사전예약을 진행한다고 6일 밝혔다. 사전예약 개통은 14일부터이며 공식 출시는 17일이다. 갤럭시 S23 시리즈는 ‘팬텀 블랙’, ‘크림’, ‘그린’, ‘라벤더’ 4가지 색상으로 구성되며 용량은 256GB, 512GB 두 가지로 출시된다. 가격은 △S23 256GB는 115만5000원(VAT포함), 512GB가 127만6000원(VAT포함), △S23+ 256GB는 135만3000원(VAT포함), 512GB가 147만4000원(VAT포함), △S23 Ultra 256GB는 159만9400원(VAT포함), 512GB가 172만400원(VAT포함)이다. ‘갤럭시 S23 시리즈’ 사전예약 구매 고객에게는 △512GB 단말을 256GB 단말 가격에 제공하는 ‘Double Storage’ 혜택과 함께 △’스마트싱스 스테이션 무상 증정’ 또는 ‘버즈2프로(화이트)+버즈 케이스 랜덤 1종을 9만9000원에 구매할 수 있는 쿠폰’을 선택 제공한다. ‘삼성초이스’ 요금제에 가입하면 버즈2프로(화이트)를 무료로 받을 수 있어 구매 혜택을 모두 즐길 수 있다. KT 사전예약 구매 혜택으로는 기간 내 혜택에 응모한 고객 총 2,300명을 대상으로 지니뮤직 3개월 이용권(총 2,100명)을 추첨 제공하고, ‘갤럭시 S23 Ultra’ 구매 고객(총 200명 추첨, 1인 2매)에게 힙합 아티스트들이 출연하는 ‘genie Ultra 콘서트’ 초대권을 제공할 예정이다. 또한 KT Y고객만을 위한 특별한 사전구매 혜택도 마련했다. ‘갤럭시 S23 시리즈’를 사전 구매하고 Y박스 앱(APP) 이벤트에 응모한 만 29세 이하 Y고객 중 총 1,000명을 추첨하여 ‘갤럭시 필수 패키지’를 제공한다. ‘갤럭시 필수 패키지’는 △삼성 35W 듀얼 포트 충전기(케이블 미포함), △핑구 블루투스 스피커, △스마트폰 거치대, △Y아티스트 더스트백으로 구성된다. 사전예약과 일반구매 공통 혜택으로는 삼성 맴버스 앱에서 사용할 수 있는 △‘갤럭시 워치5 30% 할인+풀커버 팩 무상증정 쿠폰’, △유튜브 프리미엄 4개월 무료 체험, △윌라 오디오북+오디오 웹소설+클래스 무제한 3개월 무료 구독권, △Microsoft 365 Basic 6개월 체험권이 제공된다. 일반구매 고객에게는 △10만 원 할인쿠폰 또는 △삼성케어플러스 파손보장형 1년권+정품케이스 1종이 제공된다. ▲ 오직 KT Shop에서만 만날 수 있는 다양한 구매 이벤트 KT Shop 구매 시에는 KT 멤버십 맞춤형 커머스 ‘마들랜’의 인기상품 5종(△밤켈 아웃도어 텀블러+드라이백, △밤켈 아웃도어 더플백, △스미스 버라이어티, △레스트인 네이처 디퓨저, △콜린스 올인원 인센스 스틱)을 선착순 신청할 수 있다. 또한 초이스 요금제 선택 시 첫 달 요금제 반값 혜택을 제공하고, KT 인터넷과 갤럭시 S23을 동시에 구매할 경우 황금토끼 골드바 1돈을 선착순 제공한다. KT Shop은 갤럭시 단골 고객을 대상으로 '갤럭시 매니아' 행사도 진행한다. KT 갤럭시 S, 노트, Z 시리즈를 4회 이상 사용한 고객을 대상으로 하며 △하만카돈 스피커, △삼성 S펜 프로, △삼성 정품 어댑터(택1) 혜택과 함께 첫날 예약 고객 한정으로 S23 전용 클리어케이스와 필름을 추가 증정한다. ‘갤럭시 매니아’ 대상 여부는 KT Shop 홈페이지에서 전화번호 조회로 간편하게 확인할 수 있다. 사전예약 기간 중 매일 오전 9시부터 12시까지는 S23 전용 액세서리를 추첨으로 증정하는 모닝어택 이벤트를 운영해 △삼성 정품 무선충전 배터리팩, △미니언즈 탁상시계, △카카오 보조배터리 등을 지급한다. ▲ ‘삼성초이스’ 가입하고 원하는 디바이스는 저렴하게 ‘삼성초이스’를 선택하면 버즈2프로(화이트) 무료 또는 하만카돈 오닉스 스튜디오7, 탭A8, 워치5 블루투스 모델 등 디바이스를 출고가 대비 저렴하게 이용할 수 있다. 21일까지 갤럭시 S23 시리즈를 구매하고 ‘삼성초이스’ 가입 후 응모 고객을 대상으로 네이버포인트 2만원을(총 700명 추첨) 증정하는 이벤트도 진행한다. ▲ 갤럭시 S23 구매하고, 가족과 함께하는 혜택 ‘이강인 가족 패키지’까지 KT는 갤럭시 S23 출시와 새 휴대 전화를 사려는 고객 니즈가 많아지는 졸업과 입학, 새출발 등의 시즌을 맞이해 가족이 함께 휴대폰을 구매해도 부담 없이 이용할 수 있는 다양한 혜택들을 마련했다. 먼저 넷플릭스, 디즈니+, 티빙 등 다양한 OTT와 제휴하여 가족이 함께 콘텐츠를 무제한 즐길 수 있다. 선택약정과 프리미엄 가족결합을 이용하면 월 4만 원대부터 OTT 콘텐츠를 제공하여 통신 3사 중 가장 경제적으로 OTT 구독 이용이 가능하다. 프리미엄 가족결합은 무제한 요금제를 최대 반값에 이용할 수 있는 결합상품이다. 월정액 11만 원 초이스 스페셜 기준 ▲5G데이터 완전 무제한 ▲VVIP 멤버십 ▲OTT 혜택(티빙, 디즈니+, 넷플릭스 등 택1) ▲플러스 혜택(지니, 밀리의 서재 등 택1) ▲스마트기기 1회선 무료 ▲단말보험 할인까지 월 5만 원대에 누릴 수 있다. 특히, 아이나 청소년 자녀, 시니어 가족이 있다면 추가로 맞춤 할인도 받을 수 있다. 만 12세 이하 자녀는 ‘우리아이 할인’까지 적용 시 월 6,700원에 데이터 3GB+400Kbps 무제한을 이용할 수 있다. 만 18세 이하 자녀는 ‘청소년 할인’을 적용해 데이터 걱정없이 동영상 강의를 들을 수 있는 무제한 요금제를 월 34,500원에, 만 65세 이상 부모님은 ‘기초연금 할인’을 받아 유튜브를 마음껏 볼 수 있는 데이터 무제한 요금제(5G 베이직 요금제)를 월 27,900원에 이용할 수 있다. 갤럭시 S23 출시를 기념해 ‘온가족 KT’ 프로모션도 진행한다. 2월 내 갤럭시S23을 개통하고 가족이 추가 개통을 할 경우 풍성한 선물도 제공한다. 총 2,300가족에게 영화예매권 4장을 선착순 제공하고, 23가족에게는 추첨을 통해 ‘이강인 가족 패키지’ (이강인 싸인 유니폼과 국가대표 A매치 티켓 각 2세트)를 제공한다. 프로모션 응모는 2월 14일부터 28일까지 KT 홈페이지에서 가능하다. ▲ 무이자할부로 구매 부담을 줄이고, 매월 2~3만원 요금할인까지 BC 제휴카드를 이용하면 최대 24개월 무이자 할부 혜택을 받을 수 있다. 갤럭시 S23 출고가에 따라 할부수수료를 최대 10.7만 원까지 아낄 수 있고, 카드 및 전월 실적에 따라 매월 2~3만 원씩 요금할인도 받을 수 있다. KB국민카드와 신한카드는 각각 13만 원, 12만 원의 캐시백을 제공해 고객 할인 선택의 폭을 넓혔다. ▲ 합리적인 가격으로 파손·변심 보장하는 ‘안심폰교체’와 ‘우리가족 폰케어 S23’ 파손이나 변심으로 휴대폰을 2년에 1~2번씩 교체하는 고객이라면 안심폰교체에 가입할만 하다. 2년간 새폰 1회 포함 최대 2회까지 폰교체가 가능하며 교체를 원할 시에 앱이나 전화로 신청하면 원하는 곳으로 방문 배송하여 편리하게 이용할 수 있다. 패드, 워치 등을 이용하거나 KT폰을 이용하는 가족이 있는 고객이라면 ‘우리가족 폰케어 S23’이 적합하다. ‘우리가족 폰케어 S23’에 가입하면 파손/분실 시 보상은 물론, 스마트기기(갤럭시탭/워치5/버즈2프로) 파손과 가족폰 1회선까지 한도 내에서 보상해준다. 4월 30일까지 가입할 수 있다. 한편 KT는 7일부터 3월 말까지 온라인 전용 요금제 '5G 다이렉트 55'와 '다이렉트67' 신규 가입 시 스마트 기기 또는 OTT 콘텐츠를 제공하는 프로모션도 진행한다. 요금제에 따라 버즈2Pro와 워치5(40mm), 또는 티빙과 디즈니+를 무료로 선택할 수 있다. 해당 요금제는 KT 다이렉트샵에서 가입할 수 있으며, KT샵 액세서리 쿠폰과 CU 상품권 등의 혜택도 받을 수 있다. KT Device사업본부장 김병균 상무는 ""새로운 칩셋과 카메라 기능 강화로 한층 강력해진 갤럭시 S23 시리즈와 함께 KT만의 차별화된 혜택을 준비했다”며 “특히 삼성초이스를 통해 갤럭시 버즈2프로를 제공함으로써 고객들이 초기 구매 혜택을 최대로 받을 수 있도록 준비했다”고 말했다. ※ 보충문의: KT 홍보실 장지은 과장 ※ 사진설명: KT가 7일부터 13일까지 7일간 전국 KT 매장 및 공식 온라인몰 KT Shop(shop.kt.com)에서 삼성전자 ‘갤럭시 S23 시리즈’ 사전예약을 진행한다고 6일 밝혔다. 사전예약 개통은 14일부터이며 공식 출시는 17일이다. [사진 1-9] 모델들이 KT ‘갤럭시 S23 시리즈’ 사전예약을 소개하고 있는 모습 ※ 참고자료 ○ Galaxy S23 시리즈 상세 스펙 구분 갤럭시 S23 SM-S911NK / SM-S911NK512 갤럭시 S23+ SM-S916NK / SM-S916NK512 갤럭시 S23 Ultra SM-S918NK / SM-S918NK512 출고가 (VAT포함) (256GB) 1,155,000원 (512GB) 1,276,000원 (256GB) 1,353,000원 (512GB) 1,474,000원 (256GB) 1,599,400원 (512GB) 1,720,400원 디스플레이 6.1” (153.9mm) / 플랫 FHD+ (2,340x1,080) Dynamic AMOLED 2X 어댑티브 120Hz 6.6” (166.5mm) / 플랫 FHD+ (2,340x1,080) Dynamic AMOLED 2X 어댑티브120Hz 6.8” (173.1mm) / 엣지 QHD+ (3,088x1,440) Dynamic AMOLED 2X 어댑티브 120Hz 색상 4종 (팬텀블랙, 크림, 그린, 라벤더) 후면 카메라 초광각 12MP + 광각 50MP + 망원 10MP 스페이스줌 (디지털 줌 30배/광학 줌 3배) 초광각 12MP + 광각 200MP + + 망원 10MP + 망원 10MP 스페이스줌 (디지털 줌 100배/광학 줌 3배∙10배) 전면 카메라 12MP 메모리 RAM 8GB 내장 메모리 256GB/512GB RAM 12GB 내장 메모리 256GB/512G 배터리 3,900mAh (초고속 충전 지원) 4,700mAh (초고속 충전 지원) 5,000mAh (초고속 충전 지원) 크기 (무게) 70.9 x 146.3 x 7.6mm (168g) 76.2 x 157.8 x 7.6mm (195g) 78.1 x 163.4 x 8.9mm (233g) S펜 유무 - - 내장 S펜 편의 기능 삼성페이, 방수방진 IP68, 온스크린 지문인식 소재 전후면 재생 글래스, 재생 알루미늄 CPU Snapdragon 8 Gen 2 네트워크 5G",,"<li class=""num"">2023.02.06. 11:21</li>",0,,0,437,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,사파리 + 지니뮤직 인데 지니뮤직이 리프레시되는 폰이 있다!? 빈도가 높진않은데 얼른 고쳐줘야할것같읍니다,,"<li class=""num"">2022.10.15. 09:30</li>",2,,6,676,IT+,미니
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"11년 만의 서비스명 변경…""지니 브랜드 시너지 강화"" 실시간 채널 중심→OTT 등 콘텐츠 중심 서비스 개편 현재 리모델링 공사 중인 서울 종로구 광화문 KT WEST 사옥 (KT 제공) 2022.7.13/뉴스1 KT가 자사 IPTV 서비스 '올레tv'를 '지니TV'로 개편한다고 4일 밝혔다. 이번 개편으로 KT IPTV는 기존 실시간 채널 위주 서비스에서 인공지능(AI) 기반 '미디어포털' 서비스로 확장된다. KT는 2008년 IPTV 서비스를 국내에서 처음으로 상용화했다. 2011년 IPTV 서비스를 '올레tv'라는 이름으로 통합한 후 서비스명을 바꾸는 건 이번이 처음이다. KT는 이번 브랜드 개편에 대해 ""'지니뮤직', 'KT스튜디오지니', '미디어지니'에 이어 IPTV 서비스에도 지니 브랜드를 통일성 있게 적용해 그룹사 간 시너지를 강화""하는 차원이라고 설명했다. (하략)",,"<li class=""num"">2022.10.04. 11:27</li>",0,,0,130,IT+,
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"약 16시간 사용 AOD ON 손목 들어올리기 ON 중간 밝기 지니뮤직 스트리밍 2시간 운동 1.5시간 기타 각종 센서 ON 배터리 100%->77%, 약 23% 사용하였읍니다.",,"<li class=""num"">2023.05.20. 23:56</li>",1,,8,724,IT+,미니
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,"앱/리테일 분석 서비스 와이즈앱/리테일/굿즈가 지난 10월 한국인이 가장 많이 사용한 음악 스트리밍 앱의 사용자를 발표했다. 와이즈앱/리테일/굿즈가 만 10세 이상 안드로이드 스마트폰 사용자를 표본 조사한 결과, 2022년 10월 한 달간 한국인이 가장 많이 사용한 음악 스트리밍 앱은 유튜브 뮤직으로 459만 명이 사용한 것으로 조사됐다. 그 뒤로는 멜론 454만 명, 지니뮤직 232만 명, 플로 149만 명, 네이버 바이브 106만 명, 스포티파이 54만 명, 카카오뮤직 36만 명, 벅스 32만 명 순이었다. 기사 더 읽기",,"<li class=""num"">2022.11.15. 15:32</li>",2,,1,600,IT+,소식
['https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=지니뮤직'],MiniGigiKorea,본격 FLAC vs 유튜브뮤직 배틀했는데 또 다틀렸어요 👿 이쯤되면 초막귀가 아닌가싶어오...,,"<li class=""num"">2022.11.10. 18:01</li>",3,,35,791,IT+,미니
