commnet,answer,sec
처음 이사 들어설때 공유기 없어서 내돈내산으로 설치함 일단 1번더 끊기면 kt에 전화해서 기사님 모시고 단자함이나 여러 설명 드려봐야겠네 그리고 2층이 인터넷 끊기면 3층도 끊기던데 왜그러지,Yes,0.7003474235534668
나도 없 인터넷 문젠가 본인kt,Yes,0.15357351303100586
외워라 통신사는sk 인터넷은kt,Yes,0.14724206924438477
아 나는 kt인데 최근에 인터넷이 느려가지고ㅋㅋ sk면 뭐지,Yes,0.15488290786743164
예전부터 인터넷문제잇던데 왜안바꾸지 건물이 kt밖에못쓰나??,Yes,0.15433931350708008
"나도 알뜰폰인데 집에 케이블 티비,인터넷이 KT 그래서 쌓인 포인트로 매달 저거 이용",Yes,0.1540699005126953
알뜰폰도 결합 됨 Kt엠모바일이랑 kt인터넷 이런식으로 어차피 kt엠모바일이 kt꺼임ㅋ,Yes,0.1575322151184082
"아 그 핸드폰 인터넷말고, 말 그대로 랜선으로 쓰는 인터넷 친구가 알뜰폰 쓰면서 무슨 듣보잡 인터넷인 CMB?.. 거기서 했는데, 발로 할때마다 한번씩 팅긴다면서 으어어! 소리 지르면서 다시 KT로 왔음",Yes,0.2381606101989746
물론 서버 좋을때는 조금씩 차이가 나는거 같긴한데요 이게 회선도 회선인데 인터넷이 구축이냐 신축이냐에 따라 조금 다른거같아요 물론kt가 해외망이 있어서 제일 좋긴 합니다.,Yes,0.17354083061218262
원래 사재로 샀었는데 아파트에서 kt 기가인터넷 무료로 바꿔준다해서 모든단지 바뀌었는데 kt 와이파이는 설치 안해주는거 같아서 물어봄,Yes,0.17138147354125977
인터넷 하면 KT라는 생각땜에 바꿀때 고민 많이했는데 LG는 좀 손이 안가서 SKT로 바꿨고 기사와서 모뎀 교체한 뒤에 일시불로 받음,Yes,0.2031099796295166
https://product.kt.com/wDic/productDetail.do?ItemCode=1535&amp;CateCode=6005&amp;filter_code=119&amp;option_code=&amp;pageSize=10 요기 보면 선불 인터넷이라고 3개월에 8.8 ~ 13.2 까지 있네요 약정 없이 단기로 쓰실거면 그나마 이게 제일 할만한듯 핸드폰 핫스팟 데이터는 따로라는건 처음 알았네요,Yes,0.18823790550231934
ㅇㅈ LG랑 KT 기가 써봤는데 둘다 좋음 SK는 같이 일하는 옆자리 직원이 썼었는데 맨날 인터넷 문제 생김,Yes,0.16353964805603027
한국의 이통사들 마진율이 10%대를 넘었던 게 인터넷 초창기였던 2000년대 중반 해외에서 찾아본 kt 영업마진을 보니까 2011년까진 덩치가 작고 영업이익률이 지리게 좋았다가 2012년부터 공격적 M&amp;A로 덩치를 2배 3배 4배로 불린 뒤 영업이익률이 5%대로 떨어졌음 SKT와 LGU도 사정은 비슷함,Yes,0.20827007293701172
kt공유기 - ip공유기 연결할때 인터넷선만 있음 되죠 ?,Yes,0.150346040725708
선생님들 혹시.. 아이폰11을 kt 요금제로 인터넷 + tv + 헨드폰 결합해서 쓰고 있는데 위 상품 알뜰폰 sk망으로 신청해도 개통이 될까요 ? 아님 저같은 경우에는 무조건 kt 망을 선택해야 하나요 ?,Yes,0.16005945205688477
와..전 kt인데 인터넷하고 결합해서 한달에 십만원정도 나오는데.... 통신사변경이나 이런 거 해도 별로일까요?,Yes,0.1584455966949463
사람 바이 사람인거 같음 kt 500m iptv 3년 약정인데 계약할때 인터넷만 할 수 있었음에도 난 주말에는 꼭 티비한번을 틀기에 무조건 iptv는 필수였음. 하지만 평일에는 일하고오면 볼 시간이 없어서 tv 전혀안킴. 크롬캐스트3 있어서 넷플 쿠플 티빙 아프리카등 다 연결해서 볼 수 있긴한데 요즘 통신사 iptv 셋업은 자체 기능으로 ott 보는게 가능한것도 이점이 있음.,Yes,0.21778130531311035
"가족이 많으면 iptv 도 볼만한데, 혼자 살거나 그러면, 굳이 찾아보는 사람 아니면 쓸모 없다는 경우가 있는 듯... 인터넷은 진짜 싼게 비지떡임. 저렴하다고 케이블 인터넷 잠깐 써봤다가, 학을 떼고 다시 kt 사용...",Yes,0.20097780227661133
정보가 부족해서 인터넷이 문제인지 랜카드가 문제인지 OS가 문제인지 어느단에 문제가 있는지 정확히 알 수가 없으니 그냥 KT에 전화해서 속도가 안나와요 하면 출장올겁니다 회선의 문제가 아니라면 출장비 달라고 할 수도 있구용,Yes,0.160966157913208
갑자기 통신3사가 개처럼 두둘겨 맞으면 또 모르지 요즘 공중파 뉴스에 kt 인터넷 장애 연일 패던데,Yes,0.15822505950927734
인터넷은 kt 스마트폰은 skt 가전제품은 lg얘기가,Yes,0.14448046684265137
알뜰폰 요금제가 나올 수 있는게 서비스사업자 민영화화되고 경쟁하게 만든 덕분인데..? 민영화안되고 한전처럼 운영한다면 알뜰폰 사업자도 없고 전국민이 다 KT쓰고 있있을거. 한국통신공사 시절 공급독점할 땐 인터넷 종량제였어서 PC통신 쓰다 요금폭탄 맞았었음. 하나로통신 덕분에 인터넷품질도 올라가고 정액제 쓰고있는거지. 통신사업자들 경쟁 없이 KT 공기업 단일운영체...,Yes,0.21820068359375
보통 큰건물에는 mdf실이라고 회선관리하는 곳이 있는데 이곳을 거쳐서 각 건물 인터넷이 연결됨. kt도 그렇고 LG도 같은 증상이면 건물 내부 회선 또는 MDF실 내에 기기 문제인듯함. 저거는 정말 전문업체에서 점검해야 답이 나옴. 인터넷기사는 절대 못잡음.,Yes,0.18645119667053223
대부분 모르는데 PX인터넷은 인트라넷이 아니고 KT회선이라 진짜 인터넷임. 이유는 나도 잘 모르는데 아마 발주 넣는게 업체들이랑 연결되어야 해서 그런것같음. 그래서 뭐 감찰나와도 거들떠도 안봄 ㅋㅋ,Yes,0.1853015422821045
근데 수원 2개 경기장에 인터넷 ㄱㅊ함? 숭의에서 kt쓰면 인터넷 작살나던데 조오오나게 느려서,Yes,0.17266392707824707
제 본가가 kt 인터넷이고 Mesh 무선 쓰고 있고 자취방이 lg u+ 유선 이거든요? 근데 본가에서만 말씀하신 그 상황 일어나더라구요 짜증,Yes,0.16366004943847656
덜 병신인데 저 사건으로 정 뗌 통신사 바꾼다고 하니까 고객님 왜 그러냐고 묻고 저런 사건 있다고 하니까 알았다고 하더니 30분 있다가 전화와서 미납 인터넷 요금있다고 내라고 한 새끼들임 ㅋㅋㅋㅋㅋㅋㅋ 여태까지 조용히 있다가 가족들 kt고 나만 이동한다고 했는데 거기서 정 더 떨어짐,Yes,0.1892094612121582
