commnet,answer,sec
아 맞다 ㅅㅂ 그리고 계약할때 인터넷 이미 돼있다고 kt 쓰라고 했는데 안되면 이것도 말해야겠네 믿었는데 끊김 심하다고,Sure,0.16601204872131348
카톡으로 최근들어 인터넷 끊김이 자주 발생해서 kt 고객센터에 신호 다시 받거나 기사분들 몇명이 오셨는데도 해결이 안됐다 혹시 인터넷 해결방안이 있는지 물어보고 그다음 개별설치 물어보는데 안되면 ㅈㅈ긴함 감정싸움 일어나면 나중에 끝나고 이사할때 보증금이나 돈 관련으로 빡세지는거 나도 잘 알아서,Here,0.20930147171020508
"난 3인가족다kt, kt티비, 인터넷 써서 결합하니까 알뜰폰이랑 거의 차이 없고 오히려 포인트 쓸수 있어서 더이득인거 같음",Based,0.15886664390563965
학교 인터넷이라서 KT인걸로 알고 있음,No,0.1444690227508545
다음 폰 바꿀 시점엔 자급제도 알아보긴해야겠네요 근데 인터넷이랑 가족 5명이 kt가족할인으로 묶여있어서 쉽지는 않을듯요...ㅋㅋㅋ,Based,0.1681959629058838
인터넷은 kt 임,No,0.16999006271362305
원래 인터넷은 kt였는데 요샌 진짜 이상하네여...,No,0.14597058296203613
인터넷은 무조건 KT 라고 생각함,No,0.14159893989562988
"5.21. 인터넷 방송인 성훈에게 유튜브 채널 테러 및 비난5.22. 2022년 클템, 김동준 해설 페이커 패싱 선동 사건5.23. SKT 마이너 갤러리 성명문 작성 및 2차 트럭 시위 사건5.24. T1악성팬 담원 기아 간담회 참석 인증 사건5.25. DRX 우승 폄하 사건5.26. 임재현 코치 과거사 왜곡 사건5.27. KT 프로게임단 마이너 갤러리 여론 조작 논란 5.28. T1 팬덤 및 단장의 ...",Sure,0.22306585311889648
Kt개잡놈들은 이럴때도 도움이안됨.. 인터넷도 개같이 느리고,No,0.15737605094909668
ㅁ?ㄹ kt 인터넷 쓰다가 데였나?,No,0.14723801612854004
"아니면 반대로 인터넷선을 본인방으로 연장하시고 거기 공유기두시고 거실에 증폭기 두는게 더나을거같아요. 제가 완전 시골 본가에서 독립하기전에 지낼때 정확하게 같은상황이였는데 방으로 연장은 도저히 불가능한상황이라 ( 인터넷선자체가 아예 안들어와서, 아랫마을 500미터에서 kt공사팀이 직접 선따서 저희집 연결한터라..) 거실에서 방으로 랜선 직접시공햇엇습니다.ㅋㅋ",No,0.21608209609985352
현질한거아깝고 피파때매 고민이라 인터넷을 고민을 하면 뒤도 안돌아보고 일단 KT는 써봐야함 체험해봐야함 그냥 30초만 검색해도 다 KT추천함 그냥 외국게임하면 KT맛 보고 이제 또 맘에 안들면 다른거고민하면됨,Based,0.18451571464538574
무조건 kt요 인터넷 찾아보면 위약금 현금 입금 해주는데 많아요,No,0.1533961296081543
KT에 유일하게 단기임대 인터넷 있어요 저도 3개우ㅏㄹ 필요해서 했었어요,No,0.15690851211547852
"인터넷 + 티비 + 알뜰폰 하는거랑 다 하나로 묶는거 계산해보면 전자가 싼 경우가 많음 우리집도 다 kt 썼는데, 폰만 알뜰로 갈아타고 인터넷 + 티비만 결합으로 쓰는중",No,0.15629315376281738
"우리집 티비, 인터넷 3명 다 KT인데 5년밖에 안됐으면 알뜰폰이 쌈?",No,0.1665799617767334
kt 기가 인터넷 속도 안나오는거 공론화시킨 잇섭,No,0.15629935264587402
kt1기가 인터넷 그렇게 안비쌀텐데여 제가 1기가 26000원인가에 썼었는데 qos 500메가랑 같아서 결국 다시 500메가로 왓음,Based,0.18058037757873535
퍼스에 견적받아봐 난 kt쓰다가 견적올렸는데 인터넷 티비 바꾸면 80만준대서 바꾸고 받음 컴터 판매사이트마냥 견적올리면 업체들이 얼마준다 이렇게 오퍼 오더라,Here,0.17823553085327148
kt lg 두곳 모두 공기업 시절 인터넷 망 세금으로 깐거고 지들돈으로 깐게 없는데 sk는 이 두곳에서 임차해서 쓰고. 빨아먹어도 적당히 빨아먹어야지,Here,0.16731929779052734
지금 티비는 skt 인터넷 kt 가족 한명이 sk요금제 3명이 lg여서 좀 머리아픔 그래서 걍 복잡하게 계산말고 알뜰갈까 생각중이라,Sure,0.15851449966430664
"핸드폰 무제한 이면 핫스팟, KT 선불단기인터넷 3,6,12 개월, 공유기 쓰는 집에 비용 조금 지불하고 탑승 정도 있겠네요",No,0.15784144401550293
