,comment,title,date
0,처음 이사 들어설때 공유기 없어서 내돈내산으로 설치함 일단 1번더 끊기면 kt에 전화해서 기사님 모시고 단자함이나 여러 설명 드려봐야겠네 그리고 2층이 인터넷 끊기면 3층도 끊기던데 왜그러지,집주인한테 뭐라 말해야 인터넷 개별설치 허락해줄까,2023-12-22 03:24
1,아 맞다 ㅅㅂ 그리고 계약할때 인터넷 이미 돼있다고 kt 쓰라고 했는데 안되면 이것도 말해야겠네 믿었는데 끊김 심하다고,집주인한테 뭐라 말해야 인터넷 개별설치 허락해줄까,2023-12-22 03:16
2,카톡으로 최근들어 인터넷 끊김이 자주 발생해서 kt 고객센터에 신호 다시 받거나 기사분들 몇명이 오셨는데도 해결이 안됐다 혹시 인터넷 해결방안이 있는지 물어보고 그다음 개별설치 물어보는데 안되면 ㅈㅈ긴함 감정싸움 일어나면 나중에 끝나고 이사할때 보증금이나 돈 관련으로 빡세지는거 나도 잘 알아서,집주인한테 뭐라 말해야 인터넷 개별설치 허락해줄까,2023-12-22 03:11
3,"난 3인가족다kt, kt티비, 인터넷 써서 결합하니까 알뜰폰이랑 거의 차이 없고 오히려 포인트 쓸수 있어서 더이득인거 같음",폰 자급제는 절대 사지 말라더라..jpg,2023-12-21 22:42
4,학교 인터넷이라서 KT인걸로 알고 있음,지금 끊기는 사람들 통신사 설문 한번 해보자,2023-12-21 20:41
5,나도 없 인터넷 문젠가 본인kt,이게 버퍼가 사람 차이가 큰가?,2023-12-21 20:32
6,다음 폰 바꿀 시점엔 자급제도 알아보긴해야겠네요 근데 인터넷이랑 가족 5명이 kt가족할인으로 묶여있어서 쉽지는 않을듯요...ㅋㅋㅋ,폰 자급제는 절대 사지 말라더라..jpg,2023-12-21 19:37
7,인터넷은 kt 임,집 인터넷 LG유플러스 쓰는 사람있음?,2023-12-21 16:48
8,외워라 통신사는sk 인터넷은kt,집 인터넷 LG유플러스 쓰는 사람있음?,2023-12-21 16:46
9,아 나는 kt인데 최근에 인터넷이 느려가지고ㅋㅋ sk면 뭐지,저기 님들도 네이버느려요??,2023-12-21 13:50
