url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://www.clien.net/service/search?q=ipad,클리앙,링크 참고하세요. 지난 6월 30일에 구매하여 내용물 확인차 개봉후 다시 박스에 넣어두었습니다. 현재 키보드와 약간의 차이가 있어 조금 불편(?)합니다. 전국택배거래(착불)합니다.,nan,2024-01-08 16:32:51,0,nan,0,450,회원중고장터,거래완료
https://www.clien.net/service/search?q=ipad,클리앙,"
						 
					 말 그대로.. 그냥 TMI 글입니다 ㅋㅋ 생각해보면 본체 전체가 금속이라서 안테나는 저쪽으로 뽑을 수밖에 없었겠죠",nan,2024-01-08 13:47:34,0,nan,13,"2,379",모두의공원,
https://www.clien.net/service/search?q=ipad,클리앙,"학생용 할인 먹여서 24000원 구독 중인데 (우회 결제를 구글보다 더 꼼꼼하게 막아서 별 수 없더란.. 튀르키예도 우크라이나도 다 막혔습니다 하하) 이거 구독하니 아이패드병 사라지네요. 파이널컷 프로 때문에 아이패드 M2 이상 가야하나 생각 중이었는데, 구독 가격이 괜찮다 해도 아이패드 프로 가격 자체가 부담되었거든요. 솔직히 장기적으로 보면 아이패드를 사는게 낫긴 한데, 어차피 프리미어 프로를 매달 쓸 것도 아니고 했다 안 했다 할꺼여서 이번에는 스터디만 후딱 끝내고 나중에 필요하면 또 구독하고 그러렵니다. 랩실 선배가 아이패드 파컷으로 실험 영상 편집하는거보면 부럽긴 한데 어쩔 수 있나여 ㅠ…",nan,2024-01-08 15:38:42,1,nan,10,705,모두의공원,
https://www.clien.net/service/search?q=ipad,클리앙,저의 주용도는 책을 많이 읽지는 않지만.. 책이나 영화나 아주 일년에 두 세번 미술관이나 이런데 갈 때 감상문이나 이런 용도나 정보 내용 스크랩하는 정도네요. 게임도 할려고 문명6도 구매했는데 이상하게 안하게 되더라구요. 아 그리고 엑셀이나 넘버스 같은 프로그램 자주 사용하긴 합니다.(자체 가계부를 작성하다보니까요.) 정보나 IT 이런거 방송보면서 펜슬 같은 필기도 할려고 했는데 생각보다 필기도 하루 아침에 안되다 보니 정리하는게 쉽지 않더군요.. 그래서 저는 주로 감상문 작성이나 전자노트 용도로만 쓰고 있습니다. 고가 제품인데 제품이 아깝더라구요. 요즘 테블릿으로 코딩도 가능하고 할게 많은데 사람 쓰기 나름인거 같습니다. 용도를 확장하고 여러 방면으로 잘 쓰고 싶은데 스킬이 부족해서인지 게을러서 그런지 생각보다 쉽지 않네요. 다른 분들은 어떤 용도로 사용하시나요?,nan,2024-01-08 12:54:21,0,nan,41,"1,943",모두의공원,
https://www.clien.net/service/search?q=ipad,클리앙,맥미니 위에 물건 올려놔도 될까요? 맥미니 위에 아이패드 12.9 거치대 올리고 거기에 아이패드 쓰려고 하는데요.. 혹시 문제 생길까요?,nan,2024-01-08 11:49:30,0,nan,6,"1,121",MaClien,질문있어요
https://www.clien.net/service/search?q=ipad,클리앙,달력 템플릿을 다운 받으면 그냥 pdf 파일인데 달력이미지 한장 덜렁 있는게 끝인지요 쓰려면 직접 핀치투줌으로 확대해서 이동하고 칸 안에 딱 들어가게 하지도 못하고 칸 안에 조심스럽게 맞추어서 써야하는 건지요 뭔가 칸을 누르면 확대되어서 칸 안에만 딱 쓸수있게 되고 이동도 완전 수동이 아닌 펜 터치하면 그 부분을 쓸 수 있게  편리하게 되어 있는 줄 알았는데  웬지 필기방법을 찾아볼수록 아니라는 생각이 드네요;; 그냥 그림한장 덜렁 주고 글자가 선에서 삐져나오든 말든 막 쓰는 거면 그냥 하얀백지에 마구잡이로 쓰는거랑 큰 차이가 없네요 ㅠㅠ 물론 선이 미리 그어져 있긴하지만... 혹시 제가 생각한 게 맞는지요? 터치한 부분에 딱 맞게 쓸 수 있고 터치한 부분이 일목요연하게 확대되고... 그런 기능은 없는거지요? 그리고 아이패드나 갤럭시탭이나 다 마찬가지인거도 맞는지... 혹시 아시는 분 꼭 좀 알려주세요. ,nan,2024-01-08 14:44:16,0,nan,6,608,아이포니앙,질문
https://www.clien.net/service/search?q=ipad,클리앙,"◇수조원 투입하는 중소형 OLED…""아이폰 이어 아이패드까지"" LG디스플레이는 2021년 8월 3조3000억원을 들여 중소형 OLED 시장 대응에 나선다고 발표한 바 있다. 기존 모바일 외 태블릿, 노트북 등 신규 품목의 OLED 채택이 늘어남에 따라 안정적으로 제품을 공급할 수 있도록 6세대 IT OLED 캐파를 확장할 계획이다. 중소형 OLED에서는 후발주자지만 애플 공급망 진입에 성공했다. 관련 투자를 본격화하고 있는 배경이다. 애플은 이미 아이폰 전 모델에 OLED를 장착했고 올해 출시할 아이패드 일부에도 OLED를 넣기로 했다. LG디스플레이는 유기발광층을 2단으로 쌓은 '투스택 탠덤' 구조 OLED를 선제 개발한 상태다. 아이패드용 OLED 총 생산 수량의 절반 이상을 직접 공급할 전망이다. 더불어 삼성디스플레이 점유율이 압도적인 아이폰용 OLED에서도 LG디스플레이 비중이 늘어나는 흐름이다. LG디스플레이는 이와 관련된 투자 비용은 3조648억원가량 집행한 상태다. 추가적으로 최근 알린 유상증자를 통해 마련키로 한 2000여억원 중 일부를 관련 투자에 투입할 예정이다. 2017년부터 진행 중인 모바일용 OLED 확장 투자도 해당 자금을 통해 올해 1분기까지 마치기로 했다. 2개 건의 투자를 완료하면 LG디스플레이의 IT OLED와 모바일 OLED 캐파는 각각 월 1만5000장, 4만5000장까지 늘어나게 된다. 더불어 올해는 차량용 OLED 캐파도 확장하기로 했다. 전기차, 자율주행차 등 완성차 전동화 트렌드로 내부 디스플레이 사용량이 증가한 데 따른 대응이다. 업계에서 주목하는 부분은 8세대급 OLED 투자다. IT, 자동차 등 OLED 활용도가 높아지면서 주요 디스플레이 제조사는 OLED 유리원장 확대를 추진하는 추세다. 기존 6세대급에서 8.6세대로 전환해 한 번에 더 많은 패널을 찍어내기 위함이다. 가령 13인치 OLED를 만든다고 했을 때 6세대와 8.6세대 원장에서 생산량 차이는 각각 42장과 92장으로 50장에 달한다. 삼성디스플레이는 2026년까지 4조1000억원을 투자해 8.6세대 라인을 꾸리기로 했다. 중국 BOE는 지난해 11월 관련 시설투자에 약 11조원을 투자하기로 했다. 반면 경영상 어려움을 겪고 있는 LG디스플레이는 검토 중에 이를 접기로 했다. LG디스플레이는 ""8.6세대 OLED 투자와 관련해 아직 구체적으로 결정한 바 없다""며 ""경쟁력 우위 및 기술 검증이 완료된 기존 6세대 전용 팹 기반으로 하이엔드 태블릿 시장을 선점하고자 한다""고 전했다.  ◇숨 고르는 대형 OLED, 적자 탈출 급선무 
    활발한 중소형 분야와 달리 대형 OLED 투자는 늦추기로 했다. 전방산업 업황 약화에 맞춘 결정이다. 
    LG디스플레이는 2019년 7월 초대형 OLED 선점 및 경쟁력 강화 차원에서 경기 파주에 10.5세대 OLED 공장을 짓는다고 밝혔다. 중국 광저우에서 8세대 OLED 공장을 가동한 지 얼마 지나지 않아 발표한 것으로 TV 시장을 겨냥한 투자였다. 백색(W) 유기소자 기반의 WOLED다. IT용 OLED에서의 8.6세대는 적색(R) 녹색(G) 청색(B) 유기소자를 배열한 RGB OLED다. 
    문제는 OLED TV 판매량이 기대만큼 대폭 늘지 못한 점이다. 여전히 액정표시장치(LCD) TV와 가격차가 있는 데다 미니LED 기반 제품까지 등장해 OLED TV 구매 수요가 떨어졌다. 글로벌 경기침체 장기화로 소비심리가 살아나지 못한 것도 한몫했다. LG디스플레이는 그 여파로 작년 3분기까지 6개 분기 연속 적자를 냈다. 
    결국 LG디스플레이는 광저우와 파주 내 대형 OLED 라인 가동률을 낮췄다. 또한 10.5세대 관련 투자를 5년 정도 미뤘다. 종료 시점이 2023년 3월에서 2028년 3월로 밀렸다",nan,2024-01-08 13:00:28,1,nan,0,"3,291",새로운소식,
https://www.clien.net/service/search?q=ipad,클리앙,"안녕하세요.  아이패드 충전용 케이블 여분을 사거나 회사에서는 노트북용을 쓰려고 하는데 아무거나 써도 될지 궁금합니다.  USB 케이블도 제작품질, 인증 등 변수가 있는 것 같아서요.  구체적으로는, 1. 삼성 노트북에 딸려온 USB-C 충전기/케이블을 사용해도 될까요? 아님 둘 중에 정품을 써야 할게 있을까요? 2. USB PD 60W규격 정도면 문제 없을까요? USB PD 인증이면 USB IF 인증과 동일 수준이라고 보면 될까요? 예를 들면 제가 포인트가 있어서 아래 케이블 사볼까 하는데 문제 없을지 궁금합니다.  답변 미리 감사드립니다^^",nan,2024-01-08 15:50:25,0,nan,5,191,아무거나질문,그외장비
https://www.clien.net/service/search?q=ipad,클리앙,"최초 연발이군요.  가격도 역대 최고가겠지만 기대가 됩니다. 
    1. LTPO를 탑재한 최초의 OLED 태블릿 2. 투스택 탠덤을 탑재한 최초의 OLED 태블릿 3. 가장 밝고 수명이 긴 OLED 태블릿 4. 하이브리드 OLED 공정(유리기판+박막봉지)으로 인한 가장 가볍고 가장 얇은 OLED 태블릿",nan,2024-01-08 11:47:25,0,nan,13,"1,721",모두의공원,
https://www.clien.net/service/search?q=ipad,클리앙,아이패드 9세대 10세대 64 모델이 다 품절뜨네요 뭔일이래요???,nan,2024-01-08 09:12:50,0,nan,4,"2,545",모두의공원,
