url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://www.clien.net/service/search?q=레이75,클리앙,"LMFP 배터리는 LFP에 철(Fe)를 반으로 줄이고  그대신 망간(Mn)을 40~60%로 늘린 배터리인데 에너지 밀도는 20% 증가하고 저온유지율도 기존 LFP가 50~70% 였는데 75% 이상으로 올라간다고 하네요.. 올 해 LFP를 사용하는 자동차가 모델 Y RWD, 레이ev, 토레스 evx 등이 나오는데 상온과 저온 도심 주행거리만 계산기로 계산해보니 저온유지율이 70%를 넘지 않네요 그러면 전기차 제조사가 저온유지율 75%이고 밀도도 20% 높고 게다가 가격도 비슷한 LMFP를 안쓸 이유는 없어 보이네요 당장 테슬라는 모델 Y에 LMFP를 내년부터 사용한다는 루머가 있는데요 그래서 개인적으로 이번 LFP 전기차들은 모두 스킵하고 LMFP로 바뀔 때 구입하는 건 어떨까 생각하네요..",,2023-08-12 20:01:09,0,,16,"3,312",모두의공원,
https://www.clien.net/service/search?q=레이75,클리앙, ,,2023-09-22 14:23:16,2,,11,"1,983",모두의공원,
https://www.clien.net/service/search?q=레이75,클리앙,어제뉴진스 공연 끝나고  75%가 자리를 떳다는데  어제만 해도 5개 무대에 잡혀 있는 뮤지션들이 이러한데.. 날도 더운니 잠시 쉬려간거라 봅니다. 민지에게 빠진 엔믹스 설윤..,,2023-08-04 17:44:19,0,,8,"6,695",모두의공원,
https://www.clien.net/service/search?q=레이75,클리앙,"소나타 하이브리드 계약해놨는데 올해 나올지 장담도 없는 상태인데 지인이 모델y롱 21년식 저렴하게 판매한다고 하네요. 제가 출퇴근이 왕복 10키로라 단거리인데 단거리는 하이브리드에 안 좋다고 하고 요새 현기차 결함 얘기가 많이 나와서 고민입니다. 가솔린은 생각 안하고 있습니다! 현재는 1년에 만~12000 정도 운행하고 있습니다. 집밥, 회사밥 둘다 없고 집근처 걸어서 3분 거리에 급속충전소가 있는데 그거로 전기차 운행이 가능할지 소나타 하이브리드 계약해 놓은거 기다렸다 받을지 고민중입니다!",,2023-08-30 12:19:49,0,,41,"3,230",굴러간당,Q/A
https://www.clien.net/service/search?q=레이75,클리앙,"주중을 지방에서, 주말을 서울에서 보내는 자취러입니다... 주말(금요일 밤)에 장거리 이동이 많아 주로 목요일이나 금요일에 완속으로 100%를 충전하고 금요일 밤부터 사용하다가,  필요하면 급속충전으로 10%정도만 충전해서 주중에 사용하고 다시 충전을 하는 식으로 운용을 하고 있습니다. 이쯤에서 궁금한것이... 배터리를 100% 충전하는것도 열화를 촉진한다고 하는데요, 100%를 유지하고 있는 것에서 열화가 발생하는 것인지, 그저 100%를 찍었다는것에서 열화가 생기는 것인지 궁금해졌습니다... 사실 결론은, ""아무렇게나 타도 크게 차이 없어요""가 될 것 같지만요...",,2023-11-08 21:02:15,1,,19,"3,668",굴러간당,Q/A
https://www.clien.net/service/search?q=레이75,클리앙,"출퇴근 편도 55km정도 됩니다. 카니발로 출퇴근하기엔 기름값이 많이 나와서 중고 전기차를 알아보고 있습니다. 근데 중고차도 비싸서 좀 망설여지는데 레이ev구형을 약 560만에 판매하는 매물을 발견했습니다. 16년형에 약 10만km. 유튜브와 제원을 보니 만땅 충전에 75km정도 달리더군요.  직장에도 아파트에도 전기충전기가 있어서 편도 운행 후 충전이 항시 가능할 거 같습니다. 카니발 타고 기름값 내느니, 그 돈으로 차를 사서 전기차테크한다 생각하면 나쁘진 않은거 같은데요. 주변에 전기차 타는 사람이 없어 문의드립니다. 구형 레이ev 운해중이시거나 운행하셨던 분 있으시면 답변 부탁드립니다. 아니면 레이ev신형을 보조금 받고 사는게 나을까요?  내년에 소형 전기차 기다리는 게 더 나을까요? ",,2023-12-17 00:57:58,1,,32,"3,893",굴러간당,Q/A
https://www.clien.net/service/search?q=레이75,클리앙,"티맵에서 공개한 국내 인기 주요 차종의 운전점수 순위랍니다. 니로는 당연히 납득이 가는 점수인데 카니발이 의외네요ㅎㅎ 티맵을 켰을때는 다들 얌전히 운전하는 것인지... 25개 차종엔 안들어가서 순위에는 없지만 BMW 3시리즈가 70점 정도라고 하네요. 원문은 링크를 참조해주세요. 1위: 니로 - 85점 2위: 카니발 - 82점 3위: QM6, 쏘렌토, SM5, 레이 - 81점 4위: 싼타페, 코란도, 투싼, 그렌져 - 80점 5위: SM3, 모닝, 스포티지, 쏘나타 - 79점 6위: SM6, K7, 스파크, 티볼리 - 78점 7위: 말리부, 아반떼, K5, 크루즈 - 77점 8위: K3, E클래스 - 75점 9위: BMW 5시리즈 - 73점",,2023-10-04 13:45:09,1,,45,"6,668",굴러간당,이야기
https://www.clien.net/service/search?q=레이75,클리앙,     ,,2023-08-04 09:38:40,0,,1,"1,308",모두의공원,
https://www.clien.net/service/search?q=레이75,클리앙,,,2023-07-27 16:30:40,1,,10,"16,975",사용기,게임
https://www.clien.net/service/search?q=레이75,클리앙,판매 완료,,2023-06-09 23:33:16,0,,0,"1,390",회원중고장터,거래완료
https://www.clien.net/service/search?q=레이75,클리앙,판매 완료,,2023-06-03 21:40:38,0,,0,"1,787",회원중고장터,거래완료
https://www.clien.net/service/search?q=레이75,클리앙,판매 완료,,2023-06-09 12:22:23,0,,0,694,회원중고장터,거래완료
https://www.clien.net/service/search?q=레이75,클리앙,판매 완료,,2023-06-10 13:35:32,0,,0,570,회원중고장터,거래완료
https://www.clien.net/service/search?q=레이75,클리앙,키크론  Q1 PBT / OSA / 이중사출 키캡 키크론 블랙 색상의 키보드에서 탈착한 제품입니다.  새제품 키보드에서 불량 확인차 간단한 타건후 키캡을 분리한 제품이라 실사용하지 않은 새제품이라고 생각하시면 될꺼같아요. - OSA 높이 (OEM 높이와 유사) - 이중사출 방식 (한글 부분만 레이저 각인) - 맥/윈도우 키캡 포함 - 75% 레이이웃 - 새제품 키보드에서 탈거된 제품 - 한글 각인,,2023-06-05 08:28:22,0,,1,645,회원중고장터,거래완료
https://www.clien.net/service/search?q=레이75,클리앙,판매 완료,,2023-06-08 20:23:26,0,,3,"1,294",회원중고장터,거래완료
