url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://quasarzone.com/groupSearches?keyword=레이니75,퀘이사존,'오늘 회사로 택배가 도착했습니다.  점심시간부터 지금까지 좀 써봤는데기대를 굉장히 많이 해서 인지(?) 큰 감동은 없었습니다.hi75를 처음에 썼을때는 기대를 안해서 인지.  많이  놀랐었습니다.물론 단점도 꽤 있었지만..    그때 생각한게   아. 조금 있으면 이런저런 단점들만 보완한다면 폼떡 키보드는 저렴한 가격에 공제키보드 처럼 나올 수도있겠구나 라고 생각한 뒤에   레이니75   상품 설명보고는  올것이 왔구나 라고 생각해서바로 주문했었습니다.   점점 더 나아지겠지만.  아직은 아닌것 같습니다~가성비는 나쁘지 않은것 같습니다만.  다른 키보드가 많이 있으신분들은 굳이(?) 라는 생각이 듭니다.저는 wob 스위치인데   비슷한 스위치 찾아보다가 전에 타오에서 직구했던 이 스위치랑 느낌이 꽤나 비슷하네요  키압만 조금 더 가벼울뿐,,2023.12.13 17:56,,,2,846,,
https://quasarzone.com/groupSearches?keyword=레이니75,퀘이사존,이쁨 ,,2023.12.12 10:52,,,9,1412,,
https://quasarzone.com/groupSearches?keyword=레이니75,퀘이사존,여러분들은 무슨 색이 제일 이뻐보이시나요?,,2024.01.05 02:38,,,2,562,,
https://www.clien.net/service/search?q=레이니75,클리앙,"
						 
					 퀄리티가 나쁘지 않나봐요 몇일전인가 지온에서 중국가서 미팅한다고 했는데   옵션질 해놔서 맘레 안드는 부분도 좀 개선 될려나 봅니다",,2023-11-12 15:04:16,1.0,,4,"2,717",키보드당,정보
https://www.clien.net/service/search?q=레이니75,클리앙,땡하고 들어가서 서스에 치즈화이트 선택하니 바로 품절.. 맨아래 제일싼 블랙과 실버만 남아 있어  블랙선택하니  정상진행되길래   음. 아까 오류였나 싶어서  뒤로가기 했더니  전부 품절..  ㅎ 무슨 4천개가 한번에 끝나나요.  중간도매상들이 매크로 돌린건지? 그냥  티몬 주문해놓은거 기다려보고  취소되면 말아야겠어요. ,,2023-11-11 21:18:38,0.0,,4,"2,729",키보드당,잡담
https://www.clien.net/service/search?q=레이니75,클리앙,구입하고 올리네요. 수량 28개 남아 있다고 찍혀요. ,,2024-01-07 00:27:28,0.0,,4,"1,554",키보드당,정보
https://www.clien.net/service/search?q=레이니75,클리앙,"애플TV 4K 3세대입니다 
    설정관련해서 인터넷 찾아보니   
    다이내믹 레인지에 맞추기-> 켬으로 하라던데 화질이 너무 어둡고 푸르딩딩히게 나와서 좀 이상했거든요. 
    근데 이거 끔으로 바꿔보니 화질이 확연하게 선명해지고 밝아지고 원래 색상 그대로 구현해주네요 왜 이런 현상이 발생할까요?",,2023-03-13 00:45:17,0.0,,13,"4,917",아이포니앙,사용팁
https://www.clien.net/service/search?q=레이니75,클리앙,"
						 
					 안녕하세요 미국 직구로 애플4K 3세대를 구매해서 연결에 성공했습니다 근데 화질이 평소보다 훨씬 연하게 나오는데요..넷플릭스로고도 빨간색이 아니라 물빠진 연한 다홍색 처럼 나와요 ㅠ 그래서 검색 끝에 4K SDR로 선택하려는데요..사진처럼 4K SDR 메뉴가 두개 있습니다.위에껀 북미 및 NTSC를 사용하는 지역에서 쓴다고 적혀있고요 60(59.94Hz이고 아래껀 유럽 및 아시아용이라 적혀있고  50(50Hz)입니다. 뭘로 선택해야 할까요? (애플TV는 미국에서 직구한거라 위에걸로 선택해야하는지..아님 여기가 한국이니 아래걸로 선택해야하는지 ㅠ)   HDR10+ 지원되는 애플TV 4K 3세대를 구매한 이유이기도 합니다. 애플티비 설정-비디오 화질 설정을 뭘로 해야 할까요? 아울로 평소엔 sdr로 쨍하게 보다가 HDR 콘텐츠는 자동으로 HDR로 설정되게 하는 방법이 있다던데 그건 어떻게 하는 걸까요?  ",,2022-12-13 23:31:54,0.0,,4,"1,987",아무거나질문,그외장비
https://www.clien.net/service/search?q=레이니75,클리앙,구입하고 올리네요. 수량 28개 남아 있다고 찍혀요. ,,2024-01-07 00:27:28,0.0,,4,"1,554",키보드당,정보
https://www.clien.net/service/search?q=레이니75,클리앙,"
						 
					 퀄리티가 나쁘지 않나봐요 몇일전인가 지온에서 중국가서 미팅한다고 했는데   옵션질 해놔서 맘레 안드는 부분도 좀 개선 될려나 봅니다",,2023-11-12 15:04:16,1.0,,4,"2,717",키보드당,정보
