url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://www.clien.net/service/search?q=멜론,클리앙,지난주까지 15%DC 였으나 31일까지 20% 추가.. 총35% DC. 저는 12월초 15%로 구매했으나(두병구매시) 일이 생겨 다시 제주갔다오며 오늘 확인해보니 총35% 라고 합니다. 이미 중문면세점에서 다른 두병 구매해서 후회하고 있습니다. ,,2023-12-28 14:19:55,0.0,,5,"2,109",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,죽음은 어둠... 우리 삶에서 최대한 멀찌기 떨어트려놓고 엄숙주의로 일관하는거보다  저렇게 춤추고 노래하고 흥겨운 분위기 좋지 않나요? 파우스트에 이런 대사도 있었던거 같아요....죽음을 멀리해서 삶을 망친다,,2024-01-08 13:37:53,7.0,,18,"5,304",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,"안녕하세요, 내일쯤 공구를 사용해야할 일이 있어 망치를 들고 약 1km 정도 걸어가야 하는 상황입니다. 망치를 손잡이 부분을 잡고 걸으면 당연히 불안감이 조성될 수 있어서 머리 부분을 잡고 이동하려고 합니다. 정 아니면 비닐봉투나 다른 가방에 넣어서 이동하려고도 하구요. 여기서 문득 궁금한게 망치를 손에 쥐고 길거리를 걸어다닐 경우 처벌 받는 조항이 있는지 갑자기 궁금합니다.",,2024-01-08 14:23:39,0.0,,10,"1,077",아무거나질문,법률
https://www.clien.net/service/search?q=멜론,클리앙,"지금 생각해보니 모니터 위 선반을 하나 더 놓을수 있네요. 그걸 생각 못해서 빼고 겹치고 했는데... 3년차에 돌입한 올해 연말에 많이 보여서 기쁩니다ㅋㅋㅋㅋ SBS 가요대전인데 인트로가 있습니다. KBS 연예대상 축하공연입니다. AAA 공연입니다. MMA 공연입니다. MBC 가요대제전은 모레인데, 애니 꿈빛 파티시엘의 OP를 부른다는 루머가 있네요. 올해 비록 멜론 TOP10 수상에서 입구컷 당했지만, 이들에게는 최고의 한해였습니다. 정산을 받았고 회사도 흑자전환을 했다네요.  회사의 유일한 가수이자 개국공신이라, 사무실 제일 목좋은 곳에 스테이씨 사진들 상들만 있더군요. 내년에도 행복하길",,2023-12-29 22:52:52,1.0,,2,"2,385",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,"
    아버지가 차에서 노래나 네비용으로 카플레이 지인분 차 보고 물어보셔서 찾아보다가 저렴한거 있어서 남겨요.. 차량에서 유선으로 안드로이드오토나 카플레이를 사용하셨다면 사용할 수 있고 T맵이나 네비게이션 앱이나 멜론이나 유투브등도 볼 수 있지만 운전 중 영상은 아닌거 같기에 티맵이나 네비 음악든는 용도 등으로 쓰면 괜찮을꺼 같습니다. 필요하신분이 있다면 호환되는 차종은 확인하시고 구매하시길 + 추가로 안드로이드용 호환 제품으로 구매전 폰 OS를 확인해주셔야 합니다.",,2023-12-28 17:04:24,0.0,,18,"19,861",알뜰구매,상품정보
https://www.clien.net/service/search?q=멜론,클리앙,MP3를 이용한게 몇년 전인지 기억도 안나는데요. 어르신들 차량에서 트로트 듣고 싶다고 해서 MP3를 받아보려 하는데.  제가 사용하고 있는 유튜브뮤직에서 MP3로 변환해서 받게 해주는 사이트가 많더라고요. 네이버 보면 엄청 많던데 이상한게 좀 광고성 같아 보이기도 하고.. 느낌이 쎄.....한데 이용해도 되는 사이트들일지. 요즘 MP3 근황 궁금합니다. ㅎㅎ,,2024-01-02 17:50:58,0.0,,3,"1,958",아무거나질문,인터넷
https://www.clien.net/service/search?q=멜론,클리앙,"

					 그것도 역주행으로ㅠㅠ 힘내라 얘들아ㅠㅠ",,2023-12-27 20:19:54,3.0,,6,"2,881",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,"올해 드디어 상무를 달았습니다. 연봉도 좀 오르긴 했는데, 어차피 세금 내고 나면 작년과 별 차이가 없어 그건 감흥이 없네요. =_=;; 그래도 나이 오십에 상무까지 왔으니 더 부지런히 해서 사장님한테 5년 후쯤에는 ""썩시딩 유!""를 외쳐보렵니다.",,2024-01-03 16:43:52,192.0,,165,"30,536",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,"

					 아침에 ebs서 원어로 해주는 세사미 스트리트를 보는데 쿠키 몬스터가 요리하는 코너가 있거든요. 오늘은 멜론 빙수(honey-dew melon bingsu)를 만든다고 하는데 음.. 빙수? 빙수가 영어였던가 한참 생각했는데 이게 그냥 해외에서도 고유명사처럼 통용되나보네요 ㅎ",,2023-12-27 09:00:51,0.0,,11,"2,518",모두의공원,
https://www.clien.net/service/search?q=멜론,클리앙,"











					 요즘 몇년동안 음악시상식들 보며 느끼는건데
    음악시상식들이 거의 영화제들만큼 많아진것도 모자라
    엥간한 시상식들 죄다 해외서 열고있는거 같아요.
    국내 벗어나지 않은 시상식은 더팩트.써클.멜론뮤직어워드구요.
    피프티 키나도 포함됐는데 혼자 공연할리는 없고 골든디스크에서 상은 주려나봅니다.모든 시상식에서 피프티 제외될줄 알았는데 말이죠.수상한다면 소감을 어찌말할지 궁금해지네요.
    점점 국내팬들 소홀히하고있고 새로 생겨나는 시상식들도 해외를 가네요.엠넷 mama이 꾸준히 해외투어돌면서 성공하고나니
    다 따라하는거 같고
    아무래도 3만석이상되는 전용 실내공연장이 없다시피한 한국이라 돈을 더 벌고싶은 욕심에 해외가서 더 많이하는거 같습니다.
    여기서 다시한번 느껴지는게 넓은 실내공연장의 필요성같네요.
    (국내팬들보다 해외팬들은 평소에 공연보기 힘드니 비싸도 아낌없이 투자하거든요..케베스까지 가요대축제를 일본간게 돈 때문일겁니다.)
    그리고 국내최초로 청룡시리즈는 모든 연예컨텐츠 모아서 3개의 시상식을 거느리게 됐습니다.(여름에하는 시리즈 어워즈는 예능과 드라마상.연말에하는 청룡영화상.그리고 연초에 실시하는 가요시상식까지)
    앤드모어 써있는거보니 추후 라인업이 또 공개될지는..
    일단 라인업은 부산에서 열리는 써클차트가 제일 부실해보이고
    1군급 메이저 아이돌들은 골든디스크에만 연초에 집중하는거 같네요.
    역사가 가장오래된건 서울가요대상인데 스엠파티 슴가대답군요.
    뉴진스 에스파 아이브 르세라핌등이 안나온 시상식등은 엔씨티가 대상 유력하지 않을까 생각하고
    골든디스크는 음원과 음반부문 대상 2개로 나뉩니다.
    음반은 남돌이 유리하고 음원은 여돌이 유리하죠.",,2023-12-19 18:03:02,1.0,,0,"1,437",모두의공원,
