url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"둘 다 모바일 기기 감상기준으로 이용액 6,900원 동일한데 어디로 갈지 고민이군요 벅스로 가면 이쁜 UI, essential 재생목록 컨텐츠가 장점이고 멜론으로 가면 추후 출고될 차량 블루링크와 연동으로 유무선 연결없이 음감가능 (단, 차량 이용시로 한정) 양 사이트의 장단점이 명확한지라 어디로 갈지 고민이군요 🤔🤔🤔",nan,2023.06.02. 17:25,2,nan,7,582,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"멜론이나 스포티파이는 안써봐서 모르겠는데 유튜브 뮤직은 노래 검색도 안되고, 편법으로 우회는 되지만 블투 이어폰 연결도 필요하고.... 애플 뮤직이 같은거 보면 웹앱 같은걸로 해서 윈도 프로그램 만들던데 조금 응용해서 하면 워치로도 만들 수 있지 않을까 싶은.... 함 찾아 봐야겠네요.",nan,2023.03.19. 12:41,0,nan,3,608,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"안드로이드 12 사용중이고, 어플 업데이트 전에는 폴더에 접근이 가능하게 내 파일에서 표시되는 어플을 사용중이었는데.. 어느날 어플 자동 업데이트 된 이후로 비공개 경로로 변경 된 것 같아요.. (나 어플 전체 자동업데이트 킨적 없었을텐데.. 일부어플만 선택해서 했었고.. 플레이스토어 업데이트 되면서 전체 자동업데이트가 켜졌던적이 있던건지...) 폰 변경할때마다 어플설치경로의 하위폴더에 넣어줘야하는 파일이 있는데ㅠㅜ.. 근데 멜론이나 벅스뮤직, 티빙처럼 다운로드 컨텐츠가 있는 어플들은... 다운로드 받아지는 폴더를 따로 빼둬야할텐데, 이건 적용 되고있나요? 그놈의 보안정책때문에 이게 안드로이드가 맞나 싶은 불편함이 계속 누적되는군요.. 어플이 사용중인 공개된 폴더에 접근이 꼭 필요한데, 못하는 상황 보안 문제로 인해, 빅스비 보이스로 잠금 해제가 불가능해진다던지.. 우선 당장 생각나는건 이렇게 두가지네요..",nan,2023.02.18. 19:20,0,nan,6,939,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"전지 전능 킹갓제네럴 옴니아2 M715 8GB 이제 13년을 넘어가는 실제로 살아있는 회선입니다. 실사용은 안하죠,,, 제품제조일자 2010.01.25 유심은 저거 아마 T일반유심 2008년도 유심일거에요 LTE 로 기기변경(노트5,2015) 하기전까지 제가 쓰던 유심입니다. 현재 회선은 PDA DATA Slim 8250원 선약 25%할인 온가족 50% 해서 회선유지 월 2000원 정도 나갑니다. 멜론무제한 용이죠.. 언제까지 쓸 수 있을지 모르겠습니다 사실 2020년까지 쓰겠지 했지만 2023년까지 쓰고있을줄은 몰랐지만.., 최대한 스크 뽕빼먹어 보겠습니다.",nan,2023.01.29. 23:38,6,nan,10,845,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"유튭 뮤직(해외라서 프리미엄 필요 없음)도 적잖히 쓰레기라고 생각하면서 걍 리밴스드로 음악 듣다가 프라임 가입했으니 뮤직도 공짜!! 이러길래 앱 깔고 써봤더니....... ....... 뭐 가사는 그럴수 있다 생각했어요. 최신곡은 이렇게 한글도 잘 나오니까 꾹 참고 써보려고 했습니다만....... 분명 강남스타일을 검색해서 눌렀지만 젠틀맨이 나오는거, 그래 그럴수 있습니다. 분명 강남스타일 앨범을 클릭하고 거기 곡을 눌렀는데 abcdefu.......? 게다가 이미 돈 내고 프라임 쓰는건데 또 돈내고 업그레이드 하라는 메시지가 시도때도 없이 떠서 ""광고 없는 무료 음악 듣기""는 개 구라로 판명났습니다. 이딴식이면 차라리 멜론이 나아요. 사실 아마존 프라임 비디오도 인터페이스 불편하기 짝이없고 뭐 좀 괜찮은 컨텐츠 보려면 다 돈을 따로 들여야만 하는 구조라서 불만이었는데 진짜 프라임은 배송비 무료 말고 큰 의미를 부여하면 안되겠습니다.",nan,2022.12.25. 12:28,3,nan,15,767,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,카플레이로 멜론차트도 볼 수 있고 여러가지로 많이 바뀌었네요,nan,2023.02.17. 17:40,0,nan,0,218,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,영상 플랫폼 지배력 이용 '음악 스트리밍 독점' 혐의 연합뉴스 공정거래위원회가 ‘유튜브 프리미엄’ 요금제에 유튜브뮤직을 끼워 팔고 있다는 이유로 구글에 대한 현장 조사에 들어갔다. 구글이 유튜브를 기반으로 한 영상 플랫폼 시장의 영향력을 음악 스트리밍 시장으로 확대해 멜론 등 국내 사업자들을 위협하고 있다는 것이 공정위의 판단이다. 공정위가 최근 카카오모빌리티의 ‘콜(택시 호출) 몰아주기’ 사건을 제재한 데 이어 빅테크로 플랫폼 독과점 감시망을 확대하는 양상이다. 24일 관련 업계 등에 따르면 공정위 지식산업감시과는 이날부터 4일간 서울 강남구 소재 구글코리아 본사에 대한 현장 조사에 돌입했다. 구글이 유튜브 프리미엄 요금제에 유튜브뮤직을 끼워 팔아 시장지배적 지위를 남용했다는 혐의를 확인하기 위해서다. 유튜브뮤직의 월 구독료는 8690원이지만 월 1만 450원을 내고 유튜브 프리미엄(광고 제거+오프라인 재생)을 구독하면 유튜브뮤직을 무료로 이용할 수 있다. (하략),nan,2023.02.24. 19:04,7,nan,11,1296,IT+,소식
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"로이터는 17일(미국 현지시간) 테슬라의 아쇼크 엘루스와미 오토파일럿 소프트웨어(SW) 이사가 법정 진술서에 2016년 영상은 연출됐다는 취지로 증언했다고 보도했다. 당시에 테슬라는 모델X의 주행 모습을 보여주면서 “운전석에 있는 사람은 법규 때문에 그 자리에 앉아 있을 뿐, 아무것도 하지 않아도 된다. 차량은 스스로 운전한다”고 홍보했다. 그러나 실제로는 당시에 영상에 나온 대로 자율주행을 구사할 수 있는 기술 수준에 미치지 못했다는 주장이다. ... 해당 영상은 테슬라 차량이 멜론 파크의 한 주택에서 팔로 알토에 있는 테슬라 본사까지 이어진 도로를 자율주행하는 모습을 보여주고 있다. 그러나 사실은 이 경로가 사전에 3차원(D) 매핑돼 있었다는 게 엘루스와미 이사의 진술서에 담긴 내용이다. 모델X가 주행하긴 했지만, 도로와 주변 상황을 인식해 자율주행한 게 아니라, 미리 입력된 3차원 지도를 따라 그대로 달렸을 뿐이라는 의미다. 즉 ‘예행연습하지 못한’ 새로운 길을 만나면 자율적인 주행을 하기 힘든 수준이란 뜻이다. ========== https://vimeo.com/192179727 1 of 1 2016. 11. 18 https://vimeo.com/188105076 1 of 1 2016. 10. 20 당시 테슬라 공홈에 영상이 올라와있던걸 본 기억이 나는데 오... 거의 다 완성됐겠는데? 했는데 뭔가 늦어진다 늦어진다 싶더니 당시 영상이 조작이라는 증언이 나왔습니다 참고로 일론 머스크는 2016년 당시 HW2.0을 출시하면서 2017년 말까지 FSD로 미국을 횡단 가능할수 있을것 같다고 한적 있습니다.",nan,2023.01.18. 21:27,3,nan,0,340,IT+,차량
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"와이즈앱·리테일·굿즈가 한국인 안드로이드 스마트폰 사용자를 표본 조사한 결과, 지난 4월 유튜브 뮤직 앱 사용자 수가 521만 명으로 역대 최대를 기록했다. 특히 전년 동월 대비 사용자 수가 가장 많이 증가한 음악 스트리밍 앱은 유튜브 뮤직으로 작년 4월 400만 명에서 올해 4월 521만 명으로 121만 명이 증가했다. 그 뒤로 스포티파이가 작년 4월 47만 명에서 올해 4월 63만 명으로 16만 명, 멜론이 작년 4월 450만 명에서 올해 4월 459만 명으로 9만 명 증가했다. 반면 전년 동월 대비 가장 사용자 수가 많이 감소한 음악 스트리밍 앱은 지니뮤직으로 작년 4월 231만 명에서 올해 4월 203만 명으로 28만 명 감소했다. 그 뒤로 플로가 23만 명, 카카오뮤직이 4만 명, 벅스가 3만 명, 네이버 바이브가 3만 명 감소했다. 위 조사는 앱/리테일 분석 서비스 와이즈앱·리테일·굿즈가 한국인 안드로이드 스마트폰 사용자 표본 조사로 실시했다.",nan,2023.06.07. 13:48,3,nan,14,883,IT+,소식
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,루틴에서 이렇게 하면 됩니다 루틴에 대기 기능도 있는지 몰랐네요 멜론도 타이머 기능이 있긴한데 진입하기 귀찮아서 같이 걸어놨습니다,nan,2023.06.11. 15:01,4,nan,0,577,IT+,미니
