url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,,nan,2022.10.05. 06:58,nan,nan,3,362,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,애플 에어팟 프로2 국내 출시 일정이 금일 공개 예정이라고 합니다. ​ 10월 6일 예약 10월 21일 출시 ​ 가격은 35만9천원 입니다.,nan,2022.10.05. 11:14,nan,nan,4,422,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,무손실 코덱이 지원안되서일까요..? ALAC조차 지원안하는건 좀 너무하긴했습니다 ㅠ 유닛별로 배터리 33% 더 오래간다는거랑 음질 좋아졌다는게 좀 기대되네요..,nan,2022.09.22. 19:47,nan,nan,3,664,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,S20 S21 S22 중 하나 생각 중인데 가능하면 신품으로 살 생각입니다. 서브폰 용도도 아니고 메인 서브 전부 아이폰 주변기기도 맥북 아이패드 애플워치 에어팟이라 순수 장난감 용도로 쓸 예정입니다. 색상은 화이트가 참 좋아보이는군요,nan,2022.09.23. 21:07,nan,nan,5,714,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,이번에 버즈2 프로를 산 김에 다시 한 번 아즈라 크리스탈을 사봤는데 에어팟 프로 ml사이즈를 잘 써서 같은걸 샀더니 귓구멍 안쪽까지 쏙 안 들어가더라구요 m사이즈도 잘 안들어가구요. 버즈2 프로같은 이어폰은 좀 더작은 사이즈로 귓구멍 안쪽까지 쏙 들어가야 정착용 되는것이 맞는거죠?,nan,2022.09.22. 09:43,nan,nan,2,417,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,"대중이 생각하기에 기업 제품 이미지든 뭐든 탄탄하게 구축되어 있고 해당 제품이 그 값어치를 한다고 소비자들에게 여겨진다면, 또한 그 제품이 잘 알려진 상태라면 할인을 하지 않아도 살 것이라고 생각을 합니다. 기업 입장에서도 굳이 할인 안해줘도 잘 팔리는 모델을 할인해줄 이유는 없다고 생각하구요. 어떤 이유를 붙여서든지 할인을 하는 제품은 그 소비자들의 눈높이를 맞춰주지 못해서 목표만큼의 판매량이 안나왔을 때 할인을 한다고 생각합니다. 아이폰 프로맥스 모델이 아무리 비싸고 하더라도 사람들이 이 제품이 그 가격 주고 살만하다 생각하면 지금처럼 기다려서라도 구입을 하는거구요, 반대로 아이폰14은 아무리 아이폰이라 하더라도 구입 밸류가 높지 않다고 여겨지기 때문에 할인을 하는 모습이 보이는 거라고 생각합니다 그런 의미에서 갤럭시 제품들에서 그런 점들이 많았다고 생각합니다. 스마트폰이나 태블릿이나 노트북이나 가리지 않고 특가를 찍어내다싶이 했으니까요. 전 이게 꼭 삼성만의 문제라고 생각하진 않습니다. 애플도 기대에 못미치는 제품들 같은 경우에는 할인 많이 쳐서 파는 사례가 많아요. 당장에 에어팟프로도 그렇고, 맥북 일부 시리즈도 그렇구요. 하지만, 다른 기업 대비 삼성이 스마트폰 태블릿 노트북을 가리지 않고 거의 연례행사처럼 이렇게 떨이를 하면서라도 파는 걸 보면 뭔가 현실대비 판매 목표는 높게 잡고 있는 것 같은 느낌은 들긴 합니다. 삼성의 이런 판매방식(출시후 얼마 지나지 않아 떨이하기)은 좀 고쳐야 하지 않나 개인적으로 생각이 듭니다. 사전예약자 입장에서 이런거 한두번 경험해보면 아 삼성은 절대 사전예약하면 안되겠구나 생각하고 사전 예약 자체를 안하게 될 수 있으니까요. 사전예약하는 사람들이 보통 그 기업의 충성고객인 것을 생각하면 이런거 좀 재고해줬으면 좋겠네요.",nan,2022.09.21. 18:33,nan,nan,5,659,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,일단 가장 큰 변화는 다이나믹 아일랜드.. 인데 광고 봤을 때랑 손에 쥐었을 때랑 느낌이 완전히 다르네요. 다이나믹 아일랜드가 도움이 될 상황은 노래 듣는 중에 인터넷 하면서 음악 바꾸는 정도의 (사실 저에게는 유일한) 일부 상황 뿐인데 이마저도 뭐 에어팟으로 들을 땐 에어팟 리모컨 쓰니 아무 생각 없이 에어팟 꼬리 두번 누르다가 음... 다이나믹..... 음... 이런 느낌이 듭니다. 그래도 저 상황에서는 예쁘기라도 한데 미디어 관련이나 풀스크린 어플(ex 게임) 키는 순간 위젯이든 뭐든 작동이 안 되고 오히려 방해만 되는 순간이 더 많네요. 노치보다 아래 있어서 카톡 등의 팝업 알림도 그만큼 위치가 아래로 내려와서 화면이 뭔가 좀 더 가려지는 거 같고 게임 등의 풀스크린 앱을 사용하고 있는 중에는 역동섬으로 알림 오는 기능을 줘도 될 거 같은데..a 아예 무쓸모 퍼어어어언치홀이 된다는 게 묘하게 킹 받습니다. (묘하게 킹받는 상황 예 : 화면은 많이 가리면서 기능도 없어질 때) 늘어났다 줄었다 왼쪽으로 튕겼다 오른쪽으로 튕겼다 애니메이션 공 들여서 부드럽게 만들어 놓긴 했지만 사실 이런 건 광고 볼 때 혹은 처음 샀을 때 말고는 아무 느낌 없는 것들이고.. 그 외에 13프맥에서 뭔가 변화가 느껴진다면 AOD인데.. 이것도 처음엔 초예쁘다고 생각했는데 너무 밝고 해서 시계와 알림만 나오는 옵션도 추가해줬으면 좋겠네요. 얘는 확실히 역동섬보다는 실용적이긴 합니다. 결론은 13 프로 시리즈 쓰는 분들은 한 1년쯤 뒤 가격 내려오고 앱들이 더 지원한다거나 기능 사용성에 변화가 있으면 그 때 사면 되겠다는 생각이 드네요.,nan,2022.10.10. 09:55,nan,nan,34,1257,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,"저는 주로 쓰는건 에어팟 프로 집에서는 버즈라이브, 운동할때는 사바트q12, 잘때는 qcy t20 헤드폰은 음감할때는 소니 h910n, 넷플볼때는 qcy h2 인데. 요즘 불필요하게 좀 많다는 생각이 드네요. 출퇴근 차로 하면서 음감할일도 잘 없구요. 다만 리시버 배터리 걱정은 없어서 좋습니다.",nan,2023.01.13. 20:17,nan,nan,6,325,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,"첫 번째 Nothing 폰이 출시되기 직전에 새로운 TWS 버드 디자인이 표면화되었습니다.그러나, Ear(1)의 교체 예정은 전화기와 함께 출시되지 않았습니다.그 회사는 새로운 디자인을 공식적으로 보여줄 적절한 시기를 기다리고 있었고 그 때는 런던 패션 위크였다. '아무것도 아닌 귀'라고 불리는 이 곡들은 쳇 로의 런웨이 쇼에서 다루어졌다.케이스는 완전히 재설계되어 립스틱 형태로 되어 있어 원래의 슬라브 디자인보다 포켓성이 향상되었습니다. 그러나 이것은 단지 예고편일 뿐이므로, 그 어떤 것도 새로운 TWS 꽃봉오리에 대한 정확한 세부사항을 비밀로 하고 있지 않다.사실, 우리는 그들의 케이스의 투명한 요소들을 통해 꽃봉오리 자체를 살짝 볼 수 있을 뿐이다. 확인되지 않은 정보에 따르면 이어(1)의 고무 끝이 떨어져 바닐라 에어팟과 유사합니다.이 디자인은 착용감이 더 좋다고 생각하는 사람도 있지만, 좋은 씰을 얻기가 더 어렵습니다. 휴대폰과 꽃봉오리를 모두 담을 수 있는 한정판 가방도 눈에 띄지 않았다. 'Nothing Ear'(스틱)는 올해 말에 출시될 예정이지만, 이 회사는 더 이상의 구체적인 내용을 제시하기를 거부했다. 기사 더 읽기",nan,2022.09.24. 07:52,nan,nan,0,496,nan,nan
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=에어팟,미니기기코리아,왜 에어팟 연결하고 쓸 때는 안 그러는데 그냥 쓸 땐 소리가 커지기도 하고 작아지기도 하고 밀리기도 하고 두다다닥 신기해요.,nan,2022.11.18. 16:18,nan,nan,0,153,nan,nan
