url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,"에어팟 신한카드,삼성카드,my homeplus 로 결제시 179,000원에 구매 가능하다고 하고 기간은 제품 소진시라고 하네요! 가격대가 괜찮은거 같아서 올려봅니다. 첫 글이라 미숙한 점 죄송합니당 ㅠㅠ",nan,2019.03.09 21:32,nan,nan,4,1456,핫딜 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존," 
 
이번에는 앵키하우스에서 새롭게 출시한 사악한 제품 ""이탈리아 투르칸 에어팟 천연 
가죽 케이스""에 대한 리뷰입니다.
 
앵키하우스를 포코포터블코리아를 통해 처음 알게 되었는데 매번 신통방통한 악세사리 출시가 
늘어가면서 괜찮은 제품들이 늘어나고 있는데요. 
 
 
이번에는 에어팟용 케이스치고 상당히 괜찮은 놈이 등장한 거 같습니다.
 
 
리뷰를 통해 자세히 알아보겠습니다.
 
 
리뷰~ Start!!
 
 
 
 
        패키지                     
 
 

 
이탈리아 투르칸 에어팟 천연 가죽 케이스 패키지는 제품의 실물을 볼 수 있게 오픈된 디자인으로 
되어있어 제품의 상태를  확인할 수 있는 게 특징인데요.
 
 
 
패키지 전면에는 이탈리아에서 디자인되었다는 문구와 국기 모양의 컬러 라인이 무선충전도 
가능하다는 문구가 눈에 띄네요.
 
 
 
패키지 뒷면에는 케이블 연결 부위와 오픈된 커넥트 버튼 그리고 메탈 클라스프가 사용되는 
내용이 인쇄되어있습니다.
 
 
 
패키지 측면 인쇄 모습.
 
 
 
 
        제품 살펴보기      
 
 
 
 
이탈리아 투르칸 에어팟 천연 가죽 케이스 모습입니다.
 
이태리 장인이 한땀 한땀 바느질하여 튼튼하게 만드는 모습을 보시겠습니다. 
 
 
 
 

 
흔히 보는 가죽 제품의 모서리 마무리와 같은 깔끔한 가죽이 서로 겹치는 부분 또한 꼼꼼하게 
마무리되어있고요.
 

 
에어팟 충전을 쉽게 할 수 있는 오픈된 충전포트 부분
 

 
쉽게 열고 닫을 수 있는 똑딱이 커버
 

 
커버에는 이탈리아 감성을 표현하는 이탈리아 국기 컬러 바느질
 

 
케이스 커버 오픈 시 가죽의 빳빳함을 느끼지 못하게 뒷부분을 절개하여 커버를 오픈할 때 부드럽게 
 
커넥트 버튼 부분 또한 오픈형으로 디자인하여 에이팟을 케이스에 넣은 상태에서도 
기능적인 사용에 문제가 없게 디자인되었습니다. 
 

 
케이스 내부에는 에어팟 장착 시 스크래치 없이 사용할 수 있는 부드러운 재질을 사용하였으며
 

 
열을 가해 성형한 가죽을 사용하여 에어팟을 넣을 케이스와 에어팟이 겉돌지 않는 완벽한 핏을 
보여줍니다.

 
 
 
똑딱이 버튼 안쪽에는 금속이 노출되지 않게 가죽을 덧대는 꼼꼼한 이태리 장인의 손길이 
느껴지는 부분입니다. 
 
 
 
다양한 곳에 걸어서 사용이 가능한 메탈 행거의 모습
 

 

 

 
사진상의 손가락과 비교를 해보시면 아시겠지만 고리 부분이 조금 작은 느낌이 있네요.
 
 
 
 
        에어팟도 맘에 들어하는 케이스    
 
 
 
내부 충전재를 빼내고 에어팟을 넣어보겠습니다.
 

 
기존에 사용하고 있는 카탈리스트 에어팟 케이스와 비교한 모습인데요. 
 
 
카탈리스트 제품의 경우 방수와 충격보호를 목적으로 하는 케이스로 뭐랄까? 전투형 느낌으로 
사용할 수 있다면 이탈리아 투르칸 에어팟 천연 가죽 케이스 정장 같은 느낌? 으로 
사용할 수 있는 제품인 거 같습니다.
 

 
에어팟 1세대를 배터리 광탈 문제로 이어버드만 구입할까하다가 구입한 2세대 충전 케이스 
모델입니다.
 
이번 2세대 제품은 공홈에서 주문하면서 각인 서비스도 신청했는데 자릿수 제한으로 
딱 저 글만 각인이 가능하더라고요.
 
각인 내용은 제가 사용하는 도메인 주소랍니다. ^^
 

 
에어팟이 케이스에 부드럽게 좀 꽉 끼는 느낌으로 들어가는데 새 가죽 제품 느낌이 지대로 납니다.
 

 
케이스 커버를 열고 에어팟 뚜껑 여는 두 번의 과정을 거치게 되는데 이게 어느 정도 숙달이 되니 
커버를 여는 동시에 에이팟 뚜껑을 여는 스킬이 생기더군요.
 

 
커버 부분에 구멍을 통해 무선충전 케이스 시 LED 점등을 확인할 수 있고  
 

 
앞서 설명해 드린 대로 케이스 뒷면에 오픈된 커넥트 버튼의 모습. 
 

 
오픈된 충전단자의 모습.
 
 
이처럼 이탈리아 투르칸 에어팟 천연 가죽 케이스는 에어팟을 넣었을 때 케이스에서 에어팟을 
꺼내지 않고 유선 충전과 무선 충전, 무선충전에 따른 LED 점등, 페어링까지 모두 해결할 수 있는 
실용적이면서 일체감 있는 케이스 핏이 인상적이었습니다.  
 

 
이탈리아 투르칸 에어팟 천연 가죽 케이스 메탈 행거는 튼튼하면서 중후한 느낌을 주는데요.
 
가방류 고리에는 괜찮겠지만 청바지 같은 바지류의 벨트 고리에서는 장착 시 메탈 행거의 
고리 부분이 조금 좁은 느낌이 있더라고요. 
 
 
 
오픈형으로 되어있는 충전단자 부분에 다양한 케이블을 이용하여 보았는데 보는 것과 같이 
꽤 넉넉함이 느껴졌습니다.  
 
 
 
         마무리    
 

       
 
지금까지 이탈리아 투르칸 에어팟 천연 가죽 케이스에 대하여 알아보았습니다.
  
약 1주일 가까이 이 제품을 사용하면서 느낀 점은....
 
- 새련된 가죽 악세사리 느낌
- 청바지에 걸어 사용할 때 사진과 같은 심플한 핏 연출
- 에어팟을 케이스에서 꺼낼 필요가 없다는 점 
 
이러한 모든 점이 종합하면 간지작렬!!
  
가죽 소재이기에 액티비티보다는 일반적인 생활에 알맞은 제품으로 에어팟을 보호하는 동시에 
편안한 사용이 가능한 케이스라는 점을 설명해 드리며 괜찮은 에어팟 케이스를 찾으시는 
분들이라면 꼭 사용해보시라 권하며 리뷰를 마칩니다.
 
정말 맘에 드실 거에요.
 
 
다음에도 신박한 제품 리뷰를 이어가겠습니다.
 
 
 
""선정 빡세기로 소문난 포터블코리아 체험단으로 선정되어 리뷰를 내 맘대로 자유롭게 씀"" 
 
 
 
구매처 : https://smartstore.naver.com/ankihouse/products/4509210479
 

 
 
원문출처 : https://www.idsam209.com/2028
 

 
 
 ",nan,2019.06.11 00:35,nan,nan,4,712,유저사용기/필테 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,저는 잘들리는데 받는 상대방마다 제 목소리가 너무 작다고하네요 이번에 새로 프로2사본건데 불량인건지..,nan,2023.11.22 11:13,nan,nan,12,330,모바일/스마트폰 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,유출된 아이폰 7 플러스 패키지 후면   해외 모바일 매체인 애플인사이더에서 유출 확인된 플러스 모델 패키지를 통해아이폰 7 플러스에는 애플 에어팟이 포함될 것이라는 소식을 전했습니다. 에어팟(AirPods)은 애플이 그동안 개발해온 블루투스 무선 이어폰입니다.이외 플러스 모델에서는 라이트닝 이어폰이나 라이트닝 to 3.5파이 젠더는 찾아볼 수 없었습니다.  ,nan,2016.09.02 00:47,nan,nan,6,1025,모바일 뉴스 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,"q10에 9월달에 주문한게 12일에도 
배송이 안되서(중국 국경절 문제는 배송 지연이 추가로 산 방수 케이스입니다...-.-)
취소 요청했는데 발송했다고 취소 불가능이라고 답변이 왔습니다
문제는 wd 8tb도 15일에 세관
에어팟도 배송시작해서 15일 세관
피규어도 15일 세관
아니 15일 도착했으면 세금 내야하는데 아무한테도 연락이 안옵니다
-.-
저 판매자때문에 진짜 짜증나네요
빨리 받고 싶은데 저 1개의 에어팟때문에 나머지2개는 못받고 있어요

내일 세관에 전화해야겠습니다",nan,2018.10.16 20:56,nan,nan,4,288,자유게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,요새 이어폰줄의 불편함을 느껴서 블투이어폰으로 바꿀려하는데갤럭시 스토어에서 갤럭시 전용 블투이어폰을 체험했었는데 제 귓구멍엔 너무나 크고 불편해서...에어팟 생각하고있는데갤럭시 폰에 에어팟 쓰시는분들 혹시 불편하거나 그런거 있으셨나요 ,nan,2018.12.26 14:27,nan,nan,0,273,게이밍오디오 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,LG 트롬 건조기: 5명아이패드 프로 11형(256g) :5명에어팟 2세대: 35명LG 프라엘 4종세트: 5명 응모에 100원 결제가 필요하며(포인트 가능)미당첨 시 100원은 반환됩니다. 이거 아직도 안끝났네요~ 못하신분들 참여하세요~,nan,2019.06.10 12:11,nan,nan,5,1243,핫딜 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,하앍사실 저는 블루투스 헤드폰이 2개 있었습니다만 다 처분했죠보스 이어폰으로 살아가는데 요즘따라 불편해지기 시작했습니다결국 질렸네요요즘 달러값 장난 아닙니다 139달러인데 쩝체크카드로 하면 더 나올것같아서 계좌이체로 했어요 이제 혼돈의 파라다이스입니다 관세청:뭔데 갑자기 1일에 1개씩 물건이 들어와? 이제 관세청도 저의 관종의 맛을 느끼게 될것입니다  ,nan,2018.09.29 16:41,nan,nan,18,398,IT/하드웨어 갤러리,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존," 얼마전에 청주에서 16만9천원에 판다는 글 봤는데청주까지 가기는 힘드니까 온라인으로 2천원 더주고 사는것도 나쁘지 않을거같아요 ※ 한줄평: 저번에 16만 후반대에 못구하신분들~ 이번에~~ -------------------------------------------------------------------------------------------------------지름/할인 게시판 전체에 추천이 활성화돼 좋은 딜은 추천하고 별로인 것은 지적하며 집단지성으로 딜을 판단하는 기준을 만들어가면 좋겠습니다 :)  제가 가져오는 정보글의 작성과정은,1. 정보를 보고, 2. 메리트가 있는지 판단하고,3. 현재 살 수 있는지 검증한 후, 4. 수정을 거쳐 재작성됩니다.재작성 없이 퍼온 글은 퍼왔다는 표시 대신 원글 출처가 링크로 붙어있습니다.-------------------------------------------------------------------------------------------------------",nan,2019.07.19 13:49,nan,nan,1,622,핫딜 게시판 ,nan
https://quasarzone.com/groupSearches?keyword=에어팟,퀘이사존,10~20 사이로 구매가능한 에어팟 추천좀 해주세요,nan,2019.08.27 17:39,nan,nan,1,220,기타/주변기기 게시판 ,nan
