commnet
"('처음 이사 들어설때 공유기 없어서 내돈내산으로 설치함 일단 1번더 끊기면 kt에 전화해서 기사님 모시고 단자함이나 여러 설명 드려봐야겠네 그리고 2층이 인터넷 끊기면 3층도 끊기던데 왜그러지', 1.3315672874450684, 'Yes')"
"('아 맞다 ㅅㅂ 그리고 계약할때 인터넷 이미 돼있다고 kt 쓰라고 했는데 안되면 이것도 말해야겠네 믿었는데 끊김 심하다고', 0.2795579433441162, 'Yes')"
"('카톡으로 최근들어 인터넷 끊김이 자주 발생해서 kt 고객센터에 신호 다시 받거나 기사분들 몇명이 오셨는데도 해결이 안됐다 혹시 인터넷 해결방안이 있는지 물어보고 그다음 개별설치 물어보는데 안되면 ㅈㅈ긴함 감정싸움 일어나면 나중에 끝나고 이사할때 보증금이나 돈 관련으로 빡세지는거 나도 잘 알아서', 0.3411538600921631, 'Yes')"
"('난 3인가족다kt, kt티비, 인터넷 써서 결합하니까 알뜰폰이랑 거의 차이 없고 오히려 포인트 쓸수 있어서 더이득인거 같음', 0.287184476852417, 'Yes')"
"('학교 인터넷이라서 KT인걸로 알고 있음', 0.2412576675415039, 'Yes')"
"('나도 없 인터넷 문젠가 본인kt', 0.24082016944885254, 'Yes')"
"('다음 폰 바꿀 시점엔 자급제도 알아보긴해야겠네요 근데 인터넷이랑 가족 5명이 kt가족할인으로 묶여있어서 쉽지는 않을듯요...ㅋㅋㅋ', 0.27728915214538574, 'Yes')"
"('인터넷은 kt 임', 0.2402207851409912, 'Yes')"
"('아 나는 kt인데 최근에 인터넷이 느려가지고ㅋㅋ sk면 뭐지', 0.24655771255493164, 'Yes')"
"('원래 인터넷은 kt였는데 요샌 진짜 이상하네여...', 0.24576306343078613, 'Yes')"
"('예전부터 인터넷문제잇던데 왜안바꾸지 건물이 kt밖에못쓰나??', 0.25293922424316406, 'Yes')"
"('인터넷은 무조건 KT 라고 생각함', 0.246354341506958, 'Yes')"
"('5.21. 인터넷 방송인 성훈에게 유튜브 채널 테러 및 비난5.22. 2022년 클템, 김동준 해설 페이커 패싱 선동 사건5.23. SKT 마이너 갤러리 성명문 작성 및 2차 트럭 시위 사건5.24. T1악성팬 담원 기아 간담회 참석 인증 사건5.25. DRX 우승 폄하 사건5.26. 임재현 코치 과거사 왜곡 사건5.27. KT 프로게임단 마이너 갤러리 여론 조작 논란 5.28. T1 팬덤 및 단장의 ...', 0.35146093368530273, 'Yes')"
"('Kt개잡놈들은 이럴때도 도움이안됨.. 인터넷도 개같이 느리고', 0.2459430694580078, 'Yes')"
"('ㅁ?ㄹ kt 인터넷 쓰다가 데였나?', 0.2453916072845459, 'Yes')"
"('나도 알뜰폰인데 집에 케이블 티비,인터넷이 KT 그래서 쌓인 포인트로 매달 저거 이용', 0.2806990146636963, 'Yes')"
"('현질한거아깝고 피파때매 고민이라 인터넷을 고민을 하면 뒤도 안돌아보고 일단 KT는 써봐야함 체험해봐야함 그냥 30초만 검색해도 다 KT추천함 그냥 외국게임하면 KT맛 보고 이제 또 맘에 안들면 다른거고민하면됨', 0.28780579566955566, 'Yes')"
"('무조건 kt요 인터넷 찾아보면 위약금 현금 입금 해주는데 많아요', 0.28177571296691895, 'Yes')"
"('KT에 유일하게 단기임대 인터넷 있어요 저도 3개우ㅏㄹ 필요해서 했었어요', 0.24567699432373047, 'Yes')"
"('인터넷 + 티비 + 알뜰폰 하는거랑 다 하나로 묶는거 계산해보면 전자가 싼 경우가 많음 우리집도 다 kt 썼는데, 폰만 알뜰로 갈아타고 인터넷 + 티비만 결합으로 쓰는중', 0.2812943458557129, 'Yes')"
"('알뜰폰도 결합 됨 Kt엠모바일이랑 kt인터넷 이런식으로 어차피 kt엠모바일이 kt꺼임ㅋ', 0.2539079189300537, 'Yes')"
"('아 그 핸드폰 인터넷말고, 말 그대로 랜선으로 쓰는 인터넷 친구가 알뜰폰 쓰면서 무슨 듣보잡 인터넷인 CMB?.. 거기서 했는데, 발로 할때마다 한번씩 팅긴다면서 으어어! 소리 지르면서 다시 KT로 왔음', 0.28612756729125977, 'Yes')"
"('우리집 티비, 인터넷 3명 다 KT인데 5년밖에 안됐으면 알뜰폰이 쌈?', 0.26749563217163086, 'Yes')"
"('물론 서버 좋을때는 조금씩 차이가 나는거 같긴한데요 이게 회선도 회선인데 인터넷이 구축이냐 신축이냐에 따라 조금 다른거같아요 물론kt가 해외망이 있어서 제일 좋긴 합니다.', 0.2860126495361328, 'Yes')"
"('kt 기가 인터넷 속도 안나오는거 공론화시킨 잇섭', 0.24649381637573242, 'Yes')"
"('kt1기가 인터넷 그렇게 안비쌀텐데여 제가 1기가 26000원인가에 썼었는데 qos 500메가랑 같아서 결국 다시 500메가로 왓음', 0.27887439727783203, 'Yes')"
"('원래 사재로 샀었는데 아파트에서 kt 기가인터넷 무료로 바꿔준다해서 모든단지 바뀌었는데 kt 와이파이는 설치 안해주는거 같아서 물어봄', 0.2815208435058594, 'Yes')"
"('인터넷 하면 KT라는 생각땜에 바꿀때 고민 많이했는데 LG는 좀 손이 안가서 SKT로 바꿨고 기사와서 모뎀 교체한 뒤에 일시불로 받음', 0.27855348587036133, 'Yes')"
"('퍼스에 견적받아봐 난 kt쓰다가 견적올렸는데 인터넷 티비 바꾸면 80만준대서 바꾸고 받음 컴터 판매사이트마냥 견적올리면 업체들이 얼마준다 이렇게 오퍼 오더라', 0.28382158279418945, 'Yes')"
"('kt lg 두곳 모두 공기업 시절 인터넷 망 세금으로 깐거고 지들돈으로 깐게 없는데 sk는 이 두곳에서 임차해서 쓰고. 빨아먹어도 적당히 빨아먹어야지', 0.28252673149108887, 'Yes')"
"('https://product.kt.com/wDic/productDetail.do?ItemCode=1535&amp;CateCode=6005&amp;filter_code=119&amp;option_code=&amp;pageSize=10 요기 보면 선불 인터넷이라고 3개월에 8.8 ~ 13.2 까지 있네요 약정 없이 단기로 쓰실거면 그나마 이게 제일 할만한듯 핸드폰 핫스팟 데이터는 따로라는건 처음 알았네요', 0.3148777484893799, 'Yes')"
"('ㅇㅈ LG랑 KT 기가 써봤는데 둘다 좋음 SK는 같이 일하는 옆자리 직원이 썼었는데 맨날 인터넷 문제 생김', 0.27960920333862305, 'Yes')"
"('지역마다 인터넷이 좋은곳과 안좋은곳이 있다고 하는데 범용적으로 KT', 0.2458357810974121, 'Yes')"
"('한국의 이통사들 마진율이 10%대를 넘었던 게 인터넷 초창기였던 2000년대 중반 해외에서 찾아본 kt 영업마진을 보니까 2011년까진 덩치가 작고 영업이익률이 지리게 좋았다가 2012년부터 공격적 M&amp;A로 덩치를 2배 3배 4배로 불린 뒤 영업이익률이 5%대로 떨어졌음 SKT와 LGU도 사정은 비슷함', 0.31102561950683594, 'Yes')"
"('통신사가 개씹철밥통임 기업한테 저지랄하고 소비자한테 요금제로 장난치고 KT는 거기에더해서 인터넷속도도 지좆대로 조절하고 국가차원에서 IT 쳐망해라 나가뒤져라 고사지내는데 아직도 버텨지는게 신기한 나라', 0.29099130630493164, 'Yes')"
"('쉽게 말하면 KT,SK,LG 는 제 1기업인거고 알뜰요금제는 이 3사의 하청업체가 운영하는 통신망이라 생각하시면 되요. 인터넷에 알뜰요금제라고 치면 각종 알뜰요금제 통신사가 뜨거든요? 거기에 들어가서 상담 문의해서 가입하거나하면 유심칩을 당일발송으로 보내줍니다. 그럼 그거 끼우고 요금제 원하는거 상담해서 쓰시면 되요.', 0.3135206699371338, 'Yes')"
"('아 kt 인터넷 사용자는 안되냐ㅋㅋㅋ', 0.24349474906921387, 'Yes')"
"('kt공유기 - ip공유기 연결할때 인터넷선만 있음 되죠 ?', 0.24649643898010254, 'Yes')"
"('KT 인터넷 스바 개 끊겨.', 0.2457435131072998, 'Yes')"
"('1티어 인터넷 사업자 없지않음? kt가 그나마 2티어고ㅋㅋㅋ 타 통신사는 해저케이블 이제야 하나 완성 단계 아닌가', 0.27696990966796875, 'Yes')"
"('ㅋㅋㅋ 파워콤을 민영화 하고 KT민영화 한건 김대중과 노무현이다 김대중이 우리나라 인터넷 산업 민영화 한거 아직도 모르냐?', 0.2778031826019287, 'Yes')"
"('데이터도 3사중 요즘 제일 안터지고 위성팔고 잇섭한테 고의 인터넷저하 걸리고 망사용료 대장격에다가 멤버십 혜택도 제일 적고 십새끼 KT롤스터 운영비나 깎아먹고', 0.2831101417541504, 'Yes')"
"('다른 나라도 인터넷 요금 이렇게 비쌈? KT 새끼들 너무 비싸게 쳐먹음', 0.24837851524353027, 'Yes')"
"('인터넷은 KT임 ㅋ', 0.23994922637939453, 'Yes')"
"('확실한건 kt에서 다른인터넷으로 바꾸면 역체감은 됨', 0.24391984939575195, 'Yes')"
"('컴이랑 상관없이 KT 인터넷회선 주작질땜에 그리드 체감 느껴질때 있음', 0.2460312843322754, 'Yes')"
"('kt사이트 들어가서 인터넷 리셋 한번 해보셔요 하는법은 네이버 검색', 0.24643492698669434, 'Yes')"
"('KT는 인터넷만 써야함', 0.24228811264038086, 'Yes')"
"('선생님들 혹시.. 아이폰11을 kt 요금제로 인터넷 + tv + 헨드폰 결합해서 쓰고 있는데 위 상품 알뜰폰 sk망으로 신청해도 개통이 될까요 ? 아님 저같은 경우에는 무조건 kt 망을 선택해야 하나요 ?', 0.2857174873352051, 'Yes')"
"('선생님 이거 개통한다음, 인터넷에서 신분인증할때 sk,lg.kt에서 고르는건가요? 아님 알뜰폰으로 골라야하는건가요??', 0.28357911109924316, 'Yes')"
"('인터넷은 KT로 써야하나요? IPTIME 아무 공유기나 상관없나요? 벽에서 직접 꽂아서 PS5 연결했었는데 IPTIME 공유기 연결로 바꿔야하나요?', 0.2783787250518799, 'Yes')"
"('와..전 kt인데 인터넷하고 결합해서 한달에 십만원정도 나오는데.... 통신사변경이나 이런 거 해도 별로일까요?', 0.2769737243652344, 'Yes')"
"('와이파이 집고 들어가도 인터넷에 연결되어있지 읺다고 니오네요 와이파이명은 kt giga 985f 5g 이런식으로 나오구요', 0.2880823612213135, 'Yes')"
"('인터넷은 kt 라는 말이 있었죠 근데 이새끼도 요즘 별로임 근데 딴새끼들이 더 별로라는듯 ㅋㅋ', 0.2801856994628906, 'Yes')"
"('고시원인터넷이라 걍 여러개 안하고 한개에다 공유기 꼽아놔서 그런가봐... kt이긴한데 자세한건 모름', 0.2470691204071045, 'Yes')"
"('인터넷이랑 티비 묶인거 ㅋㅋ kt씀', 0.24387407302856445, 'Yes')"
"('심지어 인터넷 KT 기가인터넷이더라...', 0.24482941627502441, 'Yes')"
"('북미게임이면 핑이 중요한데 그럼 kt가 해외망은 제일 좋은걸로 알고 있음 전 skt 인터넷 쓰다가 게임할때 핑 튀는것때메 재약정 안하고 이젠 kt정착해서 사용중인데 500m인데 속도 잘 나오고 인터넷 품질 좋음. 단 하나 단점이 하루 150기가 이상 다운받으면 그날은 100m로 속도 제한걸림 자정에 다시 풀리고 반복 근데 skt 인터넷은 다운제한 걸어둔게 없는걸로 알고있음', 0.3166468143463135, 'Yes')"
"('사람 바이 사람인거 같음 kt 500m iptv 3년 약정인데 계약할때 인터넷만 할 수 있었음에도 난 주말에는 꼭 티비한번을 틀기에 무조건 iptv는 필수였음. 하지만 평일에는 일하고오면 볼 시간이 없어서 tv 전혀안킴. 크롬캐스트3 있어서 넷플 쿠플 티빙 아프리카등 다 연결해서 볼 수 있긴한데 요즘 통신사 iptv 셋업은 자체 기능으로 ott 보는게 가능한것도 이점이 있음.', 0.31447863578796387, 'Yes')"
"('가족이 많으면 iptv 도 볼만한데, 혼자 살거나 그러면, 굳이 찾아보는 사람 아니면 쓸모 없다는 경우가 있는 듯... 인터넷은 진짜 싼게 비지떡임. 저렴하다고 케이블 인터넷 잠깐 써봤다가, 학을 떼고 다시 kt 사용...', 0.28755879402160645, 'Yes')"
"('정보가 부족해서 인터넷이 문제인지 랜카드가 문제인지 OS가 문제인지 어느단에 문제가 있는지 정확히 알 수가 없으니 그냥 KT에 전화해서 속도가 안나와요 하면 출장올겁니다 회선의 문제가 아니라면 출장비 달라고 할 수도 있구용', 0.2864530086517334, 'Yes')"
"('갑자기 통신3사가 개처럼 두둘겨 맞으면 또 모르지 요즘 공중파 뉴스에 kt 인터넷 장애 연일 패던데', 0.27845001220703125, 'Yes')"
"('ㅋㅋㅋ 야구보시는군요... 통신사랑 인터넷이 KT긴 합니다...', 0.24262690544128418, 'Yes')"
"('나 예전에 인터넷 속도 느린거 같아서 KT통신기사 불렀는데 그아저씨도 네이버에 인터넷 속도측정 검색하고 있더라 크롬켜드렸더니 크롬검색에 네이버 치고 네이버 들어가서 검색함 좀 놀랬음 ㅋㅋㅋ 생각보다 네이버 많이써..', 0.29377269744873047, 'Yes')"
"('본가할때 인터넷관련글 엄청봤는데 kt가 최고라더라구여ㅋㅋㅋ', 0.2445998191833496, 'Yes')"
"('kt 인터넷이랑 핸드폰 5G 쓰는데 겁나 끊기고 skt 갈아탈까 생각중...', 0.2396986484527588, 'Yes')"
"('인터넷 kt 쓰긴하는데 결합해야하나..?', 0.23492002487182617, 'Yes')"
"('집에 인터넷망도 kt인데 이거 갈아타면 불이익 있는지 먼저 확인해봐야겠네요......', 0.23969292640686035, 'Yes')"
"('kt 인터넷에 티빙 무료 혜택있는 거 쓰고 있었는데 합쳐지면 이거 사라지나', 0.23741769790649414, 'Yes')"
"('kt도 묶음 있지않음? 핸드폰이 가족들 전부 kt면 그쪽에 현금받고 묶는게 좋지 근데 혜택이 얼만지 몰라서 sk랑 비교는 못하겠음 sk는 인터넷쪽 기본 요금도 kt보다 싼데 3명 묶으면 15000원 추가할인에 기본요금도 할인해달라고 딜해서 더 싸게할수있으니 좋긴한데 kt쪽은 할인이 얼마나 들어가는지 몰라서 비교가안됨', 0.32878708839416504, 'Yes')"
"('결합하면 혜택이 있잖아. 할인되고 멤버십 유지에도 유리하고, 그리고 인터넷 통신사 변경해서 받는 사은품들도 들어갈때는 괜찮긴한데 장기적으로 봤을때는 별로일수도 있고, sk로 약정 또 걸면 사은품 또 주지 않음? kt는 약정 끝나고 다시 걸때 입 잘털면 풀로 땡겨 받을 수 있음.', 0.30554699897766113, 'Yes')"
"('알뜰폰 요금제가 나올 수 있는게 서비스사업자 민영화화되고 경쟁하게 만든 덕분인데..? 민영화안되고 한전처럼 운영한다면 알뜰폰 사업자도 없고 전국민이 다 KT쓰고 있있을거. 한국통신공사 시절 공급독점할 땐 인터넷 종량제였어서 PC통신 쓰다 요금폭탄 맞았었음. 하나로통신 덕분에 인터넷품질도 올라가고 정액제 쓰고있는거지. 통신사업자들 경쟁 없이 KT 공기업 단일운영체...', 0.30632567405700684, 'Yes')"
"('가까우면 무조건 kt 쓰셈. 좋은 점은, 여차할때 기사가 빨리 오고, 인터넷도 빠름.ㅋㅋㅋ', 0.24547815322875977, 'Yes')"
"('공유기 직접사서 달면 인터넷달때 꽂혀있는 kt giga fiber2 여기 꽂혀있는 선떼고 공유기에 달면되는건가요?', 0.2799642086029053, 'Yes')"
